,Unnamed: 0,eta,epsilon,mu,K,TMSE,CB
173,173,0.9,0.35,0.4,6,7.776744483149222,242
174,174,0.9,0.35,0.4,8,3.603588111450228,132
175,175,0.9,0.5,0.05,1,1.9934444847533324,17
176,176,0.9,0.5,0.05,2,2.077378992365669,17
177,177,0.9,0.5,0.05,4,1.9743097192902532,20
178,178,0.9,0.5,0.05,6,1.7743434752008942,23
179,179,0.9,0.5,0.05,8,1.7424367048694187,25
180,180,0.9,0.5,0.1,1,2.258999051293592,11
181,181,0.9,0.5,0.1,2,3.133281795007863,12
182,182,0.9,0.5,0.1,4,2.4020636611330732,15
183,183,0.9,0.5,0.1,6,1.5727427095280069,17
184,184,0.9,0.5,0.1,8,3.5532395793499734,19
185,185,0.9,0.5,0.2,1,6.2416864326257535,8
186,186,0.9,0.5,0.2,2,4.057034980485647,8
187,187,0.9,0.5,0.2,4,2.6632938693133856,11
188,188,0.9,0.5,0.2,6,2.519926120276494,14
189,189,0.9,0.5,0.2,8,2.8929718713484283,17
190,190,0.9,0.5,0.3,1,4.144210248764955,7
191,191,0.9,0.5,0.3,2,5.888661777438463,8
192,192,0.9,0.5,0.3,4,3.8431466616279337,9
193,193,0.9,0.5,0.3,6,2.7987927631797183,13
194,194,0.9,0.5,0.3,8,1.8996431254210144,23
195,195,0.9,0.5,0.4,1,3.658473606479787,9
196,196,0.9,0.5,0.4,2,3.4828302143107184,8
197,197,0.9,0.5,0.4,4,5.289912074964736,10
198,198,0.9,0.5,0.4,6,21.200355948818434,13
199,199,0.9,0.5,0.4,8,3.6170016047331335,20
200,200,0.9,1.0,0.05,1,3.928141456425306,9
201,201,0.9,1.0,0.05,2,3.6985623078718515,9
202,202,0.9,1.0,0.05,4,3.614259324999794,10
203,203,0.9,1.0,0.05,6,3.0207158449369436,11
204,204,0.9,1.0,0.05,8,2.7846495639387223,11
205,205,0.9,1.0,0.1,1,5.959298016811062,6
206,206,0.9,1.0,0.1,2,4.034992875502274,7
207,207,0.9,1.0,0.1,4,4.486171195388376,9
208,208,0.9,1.0,0.1,6,4.307650917572063,10
209,209,0.9,1.0,0.1,8,4.003591512316657,11
210,210,0.9,1.0,0.2,1,2.8060995213491817,5
211,211,0.9,1.0,0.2,2,2.7940217119192323,6
212,212,0.9,1.0,0.2,4,2.4945109780105708,7
213,213,0.9,1.0,0.2,6,4.424643966299183,9
214,214,0.9,1.0,0.2,8,3.85965956731032,10
215,215,0.9,1.0,0.3,1,6.1118445796380545,4
216,216,0.9,1.0,0.3,2,3.899461036793832,5
217,217,0.9,1.0,0.3,4,2.4133526558243394,6
218,218,0.9,1.0,0.3,6,2.6960023851250066,8
219,219,0.9,1.0,0.3,8,3.9095353618688966,9
220,220,0.9,1.0,0.4,1,6.085435566745773,3
221,221,0.9,1.0,0.4,2,4.8412617352481435,4
222,222,0.9,1.0,0.4,4,2.8934138098752613,6
223,223,0.9,1.0,0.4,6,2.8526919954754346,8
224,224,0.9,1.0,0.4,8,2.8629613594888266,9
0,0,0.5,0.05,0.005,10,0.678780970179512,664
1,1,0.5,0.05,0.005,12,0.2725419538852776,701
2,2,0.5,0.05,0.005,16,0.2450771053136345,802
3,3,0.5,0.05,0.005,20,0.2335224181352961,874
4,4,0.5,0.05,0.01,10,4.459264829396925,397
5,5,0.5,0.05,0.01,12,7.1776642005428615,437
6,6,0.5,0.05,0.01,16,10.538598219314158,547
7,7,0.5,0.05,0.01,20,21.991051193206268,645
8,8,0.5,0.1,0.005,10,0.18490075540388504,358
