,Unnamed: 0,Unnamed: 0.1,eta,epsilon,mu,K,TMSE,CB
194,194,194.0,0.9,0.5,0.3,8,1.8996431254210144,23
195,195,195.0,0.9,0.5,0.4,1,3.658473606479787,9
196,196,196.0,0.9,0.5,0.4,2,3.4828302143107184,8
197,197,197.0,0.9,0.5,0.4,4,5.289912074964736,10
198,198,198.0,0.9,0.5,0.4,6,21.200355948818434,13
199,199,199.0,0.9,0.5,0.4,8,3.6170016047331335,20
200,200,200.0,0.9,1.0,0.05,1,3.928141456425306,9
201,201,201.0,0.9,1.0,0.05,2,3.698562307871852,9
202,202,202.0,0.9,1.0,0.05,4,3.614259324999794,10
203,203,203.0,0.9,1.0,0.05,6,3.020715844936944,11
204,204,204.0,0.9,1.0,0.05,8,2.7846495639387223,11
205,205,205.0,0.9,1.0,0.1,1,5.959298016811062,6
206,206,206.0,0.9,1.0,0.1,2,4.034992875502274,7
207,207,207.0,0.9,1.0,0.1,4,4.486171195388376,9
208,208,208.0,0.9,1.0,0.1,6,4.307650917572063,10
209,209,209.0,0.9,1.0,0.1,8,4.003591512316657,11
210,210,210.0,0.9,1.0,0.2,1,2.8060995213491817,5
211,211,211.0,0.9,1.0,0.2,2,2.7940217119192323,6
212,212,212.0,0.9,1.0,0.2,4,2.4945109780105708,7
213,213,213.0,0.9,1.0,0.2,6,4.424643966299183,9
214,214,214.0,0.9,1.0,0.2,8,3.8596595673103193,10
215,215,215.0,0.9,1.0,0.3,1,6.111844579638055,4
216,216,216.0,0.9,1.0,0.3,2,3.899461036793832,5
217,217,217.0,0.9,1.0,0.3,4,2.4133526558243394,6
218,218,218.0,0.9,1.0,0.3,6,2.6960023851250066,8
219,219,219.0,0.9,1.0,0.3,8,3.9095353618688966,9
220,220,220.0,0.9,1.0,0.4,1,6.0854355667457725,3
221,221,221.0,0.9,1.0,0.4,2,4.841261735248144,4
222,222,222.0,0.9,1.0,0.4,4,2.8934138098752613,6
223,223,223.0,0.9,1.0,0.4,6,2.8526919954754346,8
224,224,224.0,0.9,1.0,0.4,8,2.8629613594888266,9
225,0,0.0,0.5,0.05,0.005,10,0.678780970179512,664
226,1,1.0,0.5,0.05,0.005,12,0.2725419538852776,701
227,2,2.0,0.5,0.05,0.005,16,0.2450771053136345,802
228,3,3.0,0.5,0.05,0.005,20,0.2335224181352961,874
229,4,4.0,0.5,0.05,0.01,10,4.459264829396925,397
230,5,5.0,0.5,0.05,0.01,12,7.1776642005428615,437
231,6,6.0,0.5,0.05,0.01,16,10.538598219314158,547
232,7,7.0,0.5,0.05,0.01,20,21.991051193206268,645
233,8,8.0,0.5,0.1,0.005,10,0.18490075540388504,358
234,9,9.0,0.5,0.1,0.005,12,0.1811955761697301,373
235,10,10.0,0.5,0.1,0.005,16,0.1694968311422495,388
236,11,11.0,0.5,0.1,0.005,20,0.17877690345606415,411
237,12,12.0,0.5,0.1,0.01,10,0.2773245515362852,277
238,13,13.0,0.5,0.1,0.01,12,0.2717861568189792,309
239,14,14.0,0.5,0.1,0.01,16,0.3078293708555543,325
240,15,15.0,0.5,0.1,0.01,20,0.26299121887833604,360
241,16,16.0,0.5,0.2,0.005,10,0.1393985869425752,149
242,17,17.0,0.5,0.2,0.005,12,0.13140056536384095,155
243,18,18.0,0.5,0.2,0.005,16,0.12585133651462801,157
244,19,19.0,0.5,0.2,0.005,20,0.1169632461417038,164
245,20,20.0,0.5,0.2,0.01,10,0.18797550901244348,133
246,21,21.0,0.5,0.2,0.01,12,0.17614236974453876,142
247,22,22.0,0.5,0.2,0.01,16,0.1784749647667983,150
248,23,23.0,0.5,0.2,0.01,20,0.14775877058809633,162
0,0,,0.5,0.05,0.0001,20,0.08831537086971226,1207
1,1,,0.5,0.05,0.0001,22,0.08816963590955106,1209
2,2,,0.5,0.05,0.0001,26,0.08796004326598197,1211
3,3,,0.5,0.05,0.0001,28,0.08787954947500085,1212
4,4,,0.5,0.05,0.0001,32,0.08769939213791318,1213
5,5,,0.5,0.05,0.0005,20,0.0945873549718412,1172
6,6,,0.5,0.05,0.0005,22,0.09389098070859553,1178
7,7,,0.5,0.05,0.0005,26,0.09269572565439373,1189
8,8,,0.5,0.05,0.0005,28,0.0925921050257251,1192
9,9,,0.5,0.05,0.0005,32,0.09175406594005134,1200
10,10,,0.5,0.05,0.001,20,0.102512756623742,1133
11,11,,0.5,0.05,0.001,22,0.1010354058014252,1144
12,12,,0.5,0.05,0.001,26,0.09911007295520573,1158
13,13,,0.5,0.05,0.001,28,0.09838672692299076,1168
14,14,,0.5,0.05,0.001,32,0.0969911505644828,1183
15,15,,0.5,0.1,0.0001,20,0.0875584869385262,485
16,16,,0.5,0.1,0.0001,22,0.08750657033958642,485
17,17,,0.5,0.1,0.0001,26,0.08748210129636501,486
18,18,,0.5,0.1,0.0001,28,0.08744090758715553,486
19,19,,0.5,0.1,0.0001,32,0.0873659530145119,486
20,20,,0.5,0.1,0.0005,20,0.09075327167618316,478
21,21,,0.5,0.1,0.0005,22,0.09043425695447974,480
22,22,,0.5,0.1,0.0005,26,0.08969347929871947,483
23,23,,0.5,0.1,0.0005,28,0.08936918607089467,483
24,24,,0.5,0.1,0.0005,32,0.08909664583152667,484
25,25,,0.5,0.1,0.001,20,0.09492184008610086,469
26,26,,0.5,0.1,0.001,22,0.09481971424976827,473
27,27,,0.5,0.1,0.001,26,0.09312228698010684,478
28,28,,0.5,0.1,0.001,28,0.09259999624793047,481
29,29,,0.5,0.1,0.001,32,0.09308679073454457,482
30,30,,0.5,0.2,0.0001,20,0.08902678141253194,168
31,31,,0.5,0.2,0.0001,22,0.08901485677660839,168
32,32,,0.5,0.2,0.0001,26,0.08891063203316663,168
33,33,,0.5,0.2,0.0001,28,0.08894921358316316,168
34,34,,0.5,0.2,0.0001,32,0.08895748761946401,168
35,35,,0.5,0.2,0.0005,20,0.09104538101993308,168
36,36,,0.5,0.2,0.0005,22,0.09116010117120957,168
37,37,,0.5,0.2,0.0005,26,0.09008225826944384,168
38,38,,0.5,0.2,0.0005,28,0.09007450120438662,168
39,39,,0.5,0.2,0.0005,32,0.0896336935454336,169
40,40,,0.5,0.2,0.001,20,0.0919320500257024,168
41,41,,0.5,0.2,0.001,22,0.09125652063808548,168
42,42,,0.5,0.2,0.001,26,0.09134940800217048,169
43,43,,0.5,0.2,0.001,28,0.0919043356709565,169
44,44,,0.5,0.2,0.001,32,0.09093349290833004,169
