,eta,epsilon,sigma_init,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
59,0.05,0.5,0.2,0.6,8,0.23143874713596538,0.1434871768297436,99,107,107,18.184608876739695
60,0.05,0.5,0.4,0.2,1,0.25633905365828097,0.14465566397690474,99,107,107,18.184608876739695
61,0.05,0.5,0.4,0.2,2,0.2565215423649638,0.14463038406144893,99,107,107,18.184608876739695
62,0.05,0.5,0.4,0.2,4,0.2571149555390185,0.1444701141557624,99,107,107,18.184608876739695
63,0.05,0.5,0.4,0.2,6,0.25813780070794123,0.14474001425303315,99,107,107,18.184608876739695
64,0.05,0.5,0.4,0.2,8,0.2585989116227605,0.14517755984630007,99,107,107,18.184608876739695
65,0.05,0.5,0.4,0.4,1,0.23336280743088264,0.14441805858189108,99,107,107,18.184608876739695
66,0.05,0.5,0.4,0.4,2,0.2333320696454244,0.14443224330454643,99,107,107,18.184608876739695
67,0.05,0.5,0.4,0.4,4,0.2327334460468596,0.14449323286606247,99,107,107,18.184608876739695
68,0.05,0.5,0.4,0.4,6,0.23238601399511727,0.14420486598644866,99,107,107,18.184608876739695
69,0.05,0.5,0.4,0.4,8,0.23283933846584293,0.14555973042131357,99,107,107,18.184608876739695
70,0.05,0.5,0.4,0.6,1,0.22526413862959846,0.14378704350108776,99,107,107,18.184608876739695
71,0.05,0.5,0.4,0.6,2,0.22515503314291563,0.1438209572848554,99,107,107,18.184608876739695
72,0.05,0.5,0.4,0.6,4,0.22289961279450352,0.1440677395249815,99,107,107,18.184608876739695
73,0.05,0.5,0.4,0.6,6,0.2212760130611322,0.14327833913992263,99,107,107,18.184608876739695
74,0.05,0.5,0.4,0.6,8,0.22192153865539574,0.14592387763470033,99,107,107,18.184608876739695
75,0.05,0.5,0.6,0.2,1,0.24972224375769606,0.1453441546121579,99,107,107,18.184608876739695
76,0.05,0.5,0.6,0.2,2,0.24989286089465182,0.14532608440454076,99,107,107,18.184608876739695
