,eta,epsilon,sigma_init,mu,K,testing_mse,CB_size,tradeOff_dist
120,0.1,0.1,4.0,0.1,2,0.33749460070856585,15,0.3375162753593288
121,0.1,0.1,4.0,0.1,5,0.337390607735181,15,0.3374122890662324
122,0.1,0.1,4.0,0.1,10,0.3372884818939995,15,0.33731016978940737
123,0.1,0.1,4.0,0.1,20,0.33728837649493704,15,0.3373100643971217
124,0.1,0.1,4.0,1.0,2,0.3399744652701991,15,0.33999598183031193
125,0.1,0.1,4.0,1.0,5,0.33893076894896146,15,0.33895235176250704
126,0.1,0.1,4.0,1.0,10,0.3379050503541734,15,0.3379266986786579
127,0.1,0.1,4.0,1.0,20,0.3379040016524698,15,0.33792565004413666
128,0.1,1.0,0.01,0.001,2,0.8842247752561819,4,0.8842253693498312
129,0.1,1.0,0.01,0.001,5,0.8842247752561819,4,0.8842253693498312
130,0.1,1.0,0.01,0.001,10,0.8842247752561819,4,0.8842253693498312
131,0.1,1.0,0.01,0.001,20,0.8842247752561819,4,0.8842253693498312
132,0.1,1.0,0.01,0.1,2,0.8842247752561819,4,0.8842253693498312
133,0.1,1.0,0.01,0.1,5,0.8842247752561819,4,0.8842253693498312
134,0.1,1.0,0.01,0.1,10,0.8842247752561819,4,0.8842253693498312
135,0.1,1.0,0.01,0.1,20,0.8842247752561819,4,0.8842253693498312
136,0.1,1.0,0.01,0.1,2,0.8842247752561819,4,0.8842253693498312
137,0.1,1.0,0.01,0.1,5,0.8842247752561819,4,0.8842253693498312
138,0.1,1.0,0.01,0.1,10,0.8842247752561819,4,0.8842253693498312
139,0.1,1.0,0.01,0.1,20,0.8842247752561819,4,0.8842253693498312
140,0.1,1.0,0.01,1.0,2,0.8842247752561819,4,0.8842253693498312
141,0.1,1.0,0.01,1.0,5,0.8842247752561819,4,0.8842253693498312
142,0.1,1.0,0.01,1.0,10,0.8842247752561819,4,0.8842253693498312
143,0.1,1.0,0.01,1.0,20,0.8842247752561819,4,0.8842253693498312
144,0.1,1.0,0.1,0.001,2,0.8808851428993691,4,0.8808857392453586
145,0.1,1.0,0.1,0.001,5,0.8808851428993691,4,0.8808857392453586
146,0.1,1.0,0.1,0.001,10,0.8808851428993691,4,0.8808857392453586
147,0.1,1.0,0.1,0.001,20,0.8808851428993691,4,0.8808857392453586
148,0.1,1.0,0.1,0.1,2,0.8808851428993691,4,0.8808857392453586
149,0.1,1.0,0.1,0.1,5,0.8808851428993691,4,0.8808857392453586
150,0.1,1.0,0.1,0.1,10,0.8808851428993691,4,0.8808857392453586
151,0.1,1.0,0.1,0.1,20,0.8808851428993691,4,0.8808857392453586
152,0.1,1.0,0.1,0.1,2,0.8808851428993691,4,0.8808857392453586
153,0.1,1.0,0.1,0.1,5,0.8808851428993691,4,0.8808857392453586
154,0.1,1.0,0.1,0.1,10,0.8808851428993691,4,0.8808857392453586
155,0.1,1.0,0.1,0.1,20,0.8808851428993691,4,0.8808857392453586
156,0.1,1.0,0.1,1.0,2,0.8808851428993691,4,0.8808857392453586
157,0.1,1.0,0.1,1.0,5,0.8808851428993691,4,0.8808857392453586
158,0.1,1.0,0.1,1.0,10,0.8808851428993691,4,0.8808857392453586
159,0.1,1.0,0.1,1.0,20,0.8808851428993691,4,0.8808857392453586
160,0.1,1.0,2.0,0.001,2,0.41249913325325105,4,0.4125004067388096
161,0.1,1.0,2.0,0.001,5,0.4125011333104734,4,0.41250240678985733
162,0.1,1.0,2.0,0.001,10,0.4125011333104734,4,0.41250240678985733
163,0.1,1.0,2.0,0.001,20,0.4125011333104734,4,0.41250240678985733
164,0.1,1.0,2.0,0.1,2,0.41230187023306525,4,0.41230314432791243
165,0.1,1.0,2.0,0.1,5,0.4125011333104734,4,0.41250240678985733
166,0.1,1.0,2.0,0.1,10,0.4125011333104734,4,0.41250240678985733
167,0.1,1.0,2.0,0.1,20,0.4125011333104734,4,0.41250240678985733
168,0.1,1.0,2.0,0.1,2,0.41230187023306525,4,0.41230314432791243
169,0.1,1.0,2.0,0.1,5,0.4125011333104734,4,0.41250240678985733
170,0.1,1.0,2.0,0.1,10,0.4125011333104734,4,0.41250240678985733
171,0.1,1.0,2.0,0.1,20,0.4125011333104734,4,0.41250240678985733
172,0.1,1.0,2.0,1.0,2,0.410574691863223,4,0.41057597131783113
173,0.1,1.0,2.0,1.0,5,0.4125011333104734,4,0.41250240678985733
174,0.1,1.0,2.0,1.0,10,0.4125011333104734,4,0.41250240678985733
175,0.1,1.0,2.0,1.0,20,0.4125011333104734,4,0.41250240678985733
176,0.1,1.0,4.0,0.001,2,0.5317679983291433,4,0.5317689861885364
177,0.1,1.0,4.0,0.001,5,0.5317668250259878,4,0.5317678128875605
178,0.1,1.0,4.0,0.001,10,0.5317668250259878,4,0.5317678128875605
179,0.1,1.0,4.0,0.001,20,0.5317668250259878,4,0.5317678128875605
180,0.1,1.0,4.0,0.1,2,0.5318841737322847,4,0.5318851613759076
181,0.1,1.0,4.0,0.1,5,0.5317668250259878,4,0.5317678128875605
182,0.1,1.0,4.0,0.1,10,0.5317668250259878,4,0.5317678128875605
183,0.1,1.0,4.0,0.1,20,0.5317668250259878,4,0.5317678128875605
184,0.1,1.0,4.0,0.1,2,0.5318841737322847,4,0.5318851613759076
185,0.1,1.0,4.0,0.1,5,0.5317668250259878,4,0.5317678128875605
186,0.1,1.0,4.0,0.1,10,0.5317668250259878,4,0.5317678128875605
187,0.1,1.0,4.0,0.1,20,0.5317668250259878,4,0.5317678128875605
188,0.1,1.0,4.0,1.0,2,0.5329419421558454,4,0.5329429278392243
189,0.1,1.0,4.0,1.0,5,0.5317668250259878,4,0.5317678128875605
190,0.1,1.0,4.0,1.0,10,0.5317668250259878,4,0.5317678128875605
191,0.1,1.0,4.0,1.0,20,0.5317668250259878,4,0.5317678128875605
192,0.5,0.01,0.01,0.001,2,1.2905424469780545e-28,31,0.00775
193,0.5,0.01,0.01,0.001,5,1.2905424469780545e-28,31,0.00775
194,0.5,0.01,0.01,0.001,10,1.2905424469780545e-28,31,0.00775
195,0.5,0.01,0.01,0.001,20,1.2905424469780545e-28,31,0.00775
196,0.5,0.01,0.01,0.1,2,1.2905424469780545e-28,31,0.00775
197,0.5,0.01,0.01,0.1,5,1.2905424469780545e-28,31,0.00775
198,0.5,0.01,0.01,0.1,10,1.2905424469780545e-28,31,0.00775
199,0.5,0.01,0.01,0.1,20,1.2905424469780545e-28,31,0.00775
200,0.5,0.01,0.01,0.1,2,1.2905424469780545e-28,31,0.00775
201,0.5,0.01,0.01,0.1,5,1.2905424469780545e-28,31,0.00775
202,0.5,0.01,0.01,0.1,10,1.2905424469780545e-28,31,0.00775
203,0.5,0.01,0.01,0.1,20,1.2905424469780545e-28,31,0.00775
204,0.5,0.01,0.01,1.0,2,1.2905424469780545e-28,31,0.00775
205,0.5,0.01,0.01,1.0,5,1.2905424469780545e-28,31,0.00775
206,0.5,0.01,0.01,1.0,10,1.2905424469780545e-28,31,0.00775
207,0.5,0.01,0.01,1.0,20,1.2905424469780545e-28,31,0.00775
208,0.5,0.01,0.1,0.001,2,1.5484725534873943e-30,31,0.00775
209,0.5,0.01,0.1,0.001,5,1.5513456413339569e-30,31,0.00775
210,0.5,0.01,0.1,0.001,10,1.5711899757022106e-30,31,0.00775
211,0.5,0.01,0.1,0.001,20,1.5466024755113944e-30,31,0.00775
212,0.5,0.01,0.1,0.1,2,1.6035714254884708e-30,31,0.00775
213,0.5,0.01,0.1,0.1,5,1.7050143830755743e-30,31,0.00775
214,0.5,0.01,0.1,0.1,10,1.6284634874258673e-30,31,0.00775
215,0.5,0.01,0.1,0.1,20,1.5347412652073714e-30,31,0.00775
216,0.5,0.01,0.1,0.1,2,1.6035714254884708e-30,31,0.00775
217,0.5,0.01,0.1,0.1,5,1.7050143830755743e-30,31,0.00775
218,0.5,0.01,0.1,0.1,10,1.6284634874258673e-30,31,0.00775
219,0.5,0.01,0.1,0.1,20,1.5347412652073714e-30,31,0.00775
220,0.5,0.01,0.1,1.0,2,1.7408781019794558e-30,31,0.00775
221,0.5,0.01,0.1,1.0,5,1.6272965953615127e-30,31,0.00775
222,0.5,0.01,0.1,1.0,10,2.2623815230616032e-30,31,0.00775
223,0.5,0.01,0.1,1.0,20,1.5892404218830648e-30,31,0.00775
224,0.5,0.01,2.0,0.001,2,0.017525244312642747,31,0.019162376893741992
225,0.5,0.01,2.0,0.001,5,0.01752092921161357,31,0.019158430531710412
226,0.5,0.01,2.0,0.001,10,0.017515253497196355,31,0.019153240067180517
227,0.5,0.01,2.0,0.001,20,0.01751524859966077,31,0.019153235588482656
228,0.5,0.01,2.0,0.1,2,0.01850539568177157,31,0.020062705932623593
229,0.5,0.01,2.0,0.1,5,0.018106307473194576,31,0.019695199169184906
230,0.5,0.01,2.0,0.1,10,0.017571061321471886,31,0.019204288478434323
231,0.5,0.01,2.0,0.1,20,0.01757058787266747,31,0.019203855294995565
232,0.5,0.01,2.0,0.1,2,0.01850539568177157,31,0.020062705932623593
233,0.5,0.01,2.0,0.1,5,0.018106307473194576,31,0.019695199169184906
234,0.5,0.01,2.0,0.1,10,0.017571061321471886,31,0.019204288478434323
235,0.5,0.01,2.0,0.1,20,0.01757058787266747,31,0.019203855294995565
236,0.5,0.01,2.0,1.0,2,0.022770321376214257,31,0.024053067072123673
237,0.5,0.01,2.0,1.0,5,0.02080821845738057,31,0.022204604373194166
238,0.5,0.01,2.0,1.0,10,0.017959655967362747,31,0.019560463758971264
239,0.5,0.01,2.0,1.0,20,0.017958599426362583,31,0.0195594936886554
240,0.5,0.01,4.0,0.001,2,0.2467630796010642,31,0.24688475034760884
241,0.5,0.01,4.0,0.001,5,0.2467595557090431,31,0.24688122819227132
242,0.5,0.01,4.0,0.001,10,0.2467548431292897,31,0.24687651793510124
243,0.5,0.01,4.0,0.001,20,0.24675484076068646,31,0.24687651556766538
244,0.5,0.01,4.0,0.1,2,0.2478000004523976,31,0.24792116231618522
245,0.5,0.01,4.0,0.1,5,0.2474500696504744,31,0.2475714027710483
246,0.5,0.01,4.0,0.1,10,0.2469816652439652,31,0.2471032283615131
247,0.5,0.01,4.0,0.1,20,0.24698143584925564,31,0.247102999079655
248,0.5,0.01,4.0,0.1,2,0.2478000004523976,31,0.24792116231618522
249,0.5,0.01,4.0,0.1,5,0.2474500696504744,31,0.2475714027710483
250,0.5,0.01,4.0,0.1,10,0.2469816652439652,31,0.2471032283615131
251,0.5,0.01,4.0,0.1,20,0.24698143584925564,31,0.247102999079655
252,0.5,0.01,4.0,1.0,2,0.2565854849836696,31,0.25670250019098945
253,0.5,0.01,4.0,1.0,5,0.2533015904120911,31,0.2534201219423879
254,0.5,0.01,4.0,1.0,10,0.24887603132752728,31,0.24899666959487698
255,0.5,0.01,4.0,1.0,20,0.2488744723430906,31,0.2489951113657691
256,0.5,0.1,0.01,0.001,2,0.06968804320518315,15,0.06979293653921917
257,0.5,0.1,0.01,0.001,5,0.06968804320518315,15,0.06979293653921917
258,0.5,0.1,0.01,0.001,10,0.06968804320518315,15,0.06979293653921917
259,0.5,0.1,0.01,0.001,20,0.06968804320518315,15,0.06979293653921917
260,0.5,0.1,0.01,0.1,2,0.06968804320518315,15,0.06979293653921917
261,0.5,0.1,0.01,0.1,5,0.06968804320518315,15,0.06979293653921917
262,0.5,0.1,0.01,0.1,10,0.06968804320518315,15,0.06979293653921917
263,0.5,0.1,0.01,0.1,20,0.06968804320518315,15,0.06979293653921917
264,0.5,0.1,0.01,0.1,2,0.06968804320518315,15,0.06979293653921917
265,0.5,0.1,0.01,0.1,5,0.06968804320518315,15,0.06979293653921917
266,0.5,0.1,0.01,0.1,10,0.06968804320518315,15,0.06979293653921917
