,eta,epsilon,sigma_init,mu,K,MSE,MAE,MASE,MAPE,CB
102,0.05,0.5,0.4,0.05,4,0.17932691597405767,0.25899833172726877,10.11046860016002,32012.605467046687,75
103,0.05,0.5,0.4,0.05,6,0.18337673768435644,0.26231187795726163,10.239689453350762,32074.763101702498,75
104,0.05,0.5,0.4,0.05,8,0.18455317019092313,0.26352334690118606,10.264474940737555,32094.222589106204,75
105,0.05,0.5,0.4,0.1,1,0.1492464036071335,0.23798287419582156,9.339800891291533,37320.698644593205,75
106,0.05,0.5,0.4,0.1,2,0.14987979689955006,0.23864727667993674,9.35778802055043,37317.69018149019,75
107,0.05,0.5,0.4,0.1,4,0.1510711439584115,0.23980607965346384,9.388412270891171,37250.334986935806,75
108,0.05,0.5,0.4,0.1,6,0.1540461685534321,0.24260785675316923,9.497754336179534,37296.949482573626,75
109,0.05,0.5,0.4,0.1,8,0.15500101242523562,0.24370094837698866,9.520222385586454,37315.58169600171,75
110,0.05,0.5,0.4,0.2,1,0.13039819925281518,0.22499948186169078,8.86080068725917,43610.89592431702,75
111,0.05,0.5,0.4,0.2,2,0.13078373256223194,0.22546980046978493,8.872856394827732,43603.07555949774,75
112,0.05,0.5,0.4,0.2,4,0.1314488291256107,0.22620556743200343,8.892556658207498,43486.41957376953,75
113,0.05,0.5,0.4,0.2,6,0.133026503425138,0.2279145710159722,8.958618697580354,43497.03570693528,75
114,0.05,0.5,0.4,0.2,8,0.13350373000265264,0.2285646977500994,8.971802961127157,43509.29345707153,75
115,0.05,0.5,0.4,0.3,1,0.12372969860356446,0.22127910761036762,8.731756375328523,47639.05169781402,75
116,0.05,0.5,0.4,0.3,2,0.12397916060226045,0.22161135611902655,8.739546251770536,47627.115886658634,75
117,0.05,0.5,0.4,0.3,4,0.12433707791754316,0.2220435718929563,8.749293696874275,47422.42573519038,75
118,0.05,0.5,0.4,0.3,6,0.12486255521652564,0.22273616932927132,8.77537377667539,47393.20626574667,75
119,0.05,0.5,0.4,0.3,8,0.12509160275058911,0.22308599512704363,8.78217023412271,47399.85071544496,75
120,0.05,0.5,0.4,0.4,1,0.12069816409066361,0.22042821337237067,8.708156071096772,50657.19141758487,75
121,0.05,0.5,0.4,0.4,2,0.12085509510643276,0.22065795638113578,8.712761475779617,50643.93476684652,75
122,0.05,0.5,0.4,0.4,4,0.12097272182880937,0.22083833036867506,8.712645974553391,50337.63081373134,75
123,0.05,0.5,0.4,0.4,6,0.12049682022329639,0.22052215125057523,8.699060791799807,50270.52478760479,75
124,0.05,0.5,0.4,0.4,8,0.12057110682249195,0.22066648951050466,8.701318669695496,50272.7610030233,75
125,0.05,0.5,0.6,0.05,1,0.1311407746595494,0.216646673381268,8.523506118955808,32140.89926582977,75
126,0.05,0.5,0.6,0.05,2,0.1313513865132054,0.21688693635440615,8.530295407752824,32140.82954424389,75
127,0.05,0.5,0.6,0.05,4,0.13160053308002434,0.21722072663983777,8.531778654225834,32131.669780806125,75
128,0.05,0.5,0.6,0.05,6,0.13247342221513667,0.21799583528466948,8.566581978265354,32143.36412889095,75
129,0.05,0.5,0.6,0.05,8,0.13268688037646678,0.2183177283196827,8.573140781039879,32148.24022757437,75
