,eta,epsilon,mu,K,MSE,MAE,MASE,MAPE,CB
31,0.3,0.5,0.1,2,49.106567274571894,6.119301148069157,306.6646690949206,3115533.6978445235,14
32,0.3,0.5,0.1,4,34.6088778539596,4.823751447850772,243.04560144269163,1821502.8924113533,18
33,0.3,0.5,0.1,6,30.993719461299722,4.552330711116292,225.45381943745144,1863066.7486962557,20
34,0.3,0.5,0.1,8,24.83891662242088,3.959151989465207,197.89014124765126,1459579.6299371275,20
35,0.3,0.5,0.2,1,45.13453262989723,5.608588577061199,274.3632232632929,2524071.9104820997,10
36,0.3,0.5,0.2,2,38.9540830930263,5.236520712611826,262.0055588139111,2054487.8502567427,12
37,0.3,0.5,0.2,4,21.366068551301794,3.7960189881107653,185.39396256368764,1938425.4131440553,16
38,0.3,0.5,0.2,6,24.25774122481351,3.9856211923777978,197.71221835089148,1970851.848208951,18
39,0.3,0.5,0.2,8,31.509785054954445,4.856751907269601,234.55396778487048,2132898.870273926,18
40,0.3,0.5,0.3,1,23.56701865482518,3.644353574674699,173.8968212538771,1601364.9983517707,13
41,0.3,0.5,0.3,2,23.50174990055736,3.8297257183622317,185.73207595190118,1676272.860539044,14
42,0.3,0.5,0.3,4,17.410411668322944,3.1463847389446884,148.86745237232992,1429715.4057364427,17
43,0.3,0.5,0.3,6,22.69597504864241,3.7993999995807153,182.50285660229386,1688325.4825844874,20
44,0.3,0.5,0.3,8,18.17397207866119,3.359040599020862,158.88469127575556,1684930.9163399374,22
45,0.3,0.5,0.4,1,35.518419483803015,4.769749220065321,238.2867492322734,1948462.2388548036,11
46,0.3,0.5,0.4,2,21.421116065186393,3.611290348251238,174.33454075695394,1406924.447348716,13
47,0.3,0.5,0.4,4,30.47659990654704,4.29537728003504,206.7684646148079,1794393.396127192,16
48,0.3,0.5,0.4,6,28.819983118162536,4.056905015271011,198.93843036888157,1758233.462288717,17
49,0.3,0.5,0.4,8,33.737452700233334,4.337366103034538,216.60861447300442,2198013.779665051,18
50,0.3,1.0,0.05,1,1.358557115148521,0.9710332115260616,46.22790189503257,492243.6218675033,14
51,0.3,1.0,0.05,2,1.1754766632792497,0.9005346732352421,42.91526099164263,405461.8260309309,15
52,0.3,1.0,0.05,4,1.7722828642754824,1.120256005292218,54.3849950952321,516722.31261830253,14
53,0.3,1.0,0.05,6,1.3389688826379262,0.9888010789925009,47.658034573734604,440304.603740251,16
54,0.3,1.0,0.05,8,1.2887082616146595,0.9537517810544721,46.20900991396786,439121.04583195574,17
55,0.3,1.0,0.1,1,15.25678116592269,3.2476066521295057,163.87652452493387,1768759.0958471813,8
56,0.3,1.0,0.1,2,4.42503244536247,1.6985483260883616,81.73831741516182,861511.9220143358,11
57,0.3,1.0,0.1,4,15.707646910247895,3.4276066237011897,169.92618066861374,1718763.503664579,11
58,0.3,1.0,0.1,6,8.30611370849233,2.3276902978553675,115.67014496580613,1224657.3191012123,12
59,0.3,1.0,0.1,8,7.621904534378755,2.3092968441520054,115.8083931461613,1185166.4464861308,14
60,0.3,1.0,0.2,1,24.701913604963014,4.303006157703775,213.63270764227255,2197256.675220527,5
61,0.3,1.0,0.2,2,15.399802960395572,3.334327030585265,165.5300066628016,1649928.7369372605,6
62,0.3,1.0,0.2,4,26.21463489414327,4.19150029665248,212.18292140478678,1958902.8558904582,8
63,0.3,1.0,0.2,6,17.16289520135243,3.5643294691677037,176.29667020113476,1821085.6562091997,9
64,0.3,1.0,0.2,8,24.280105823699213,4.154091535589361,208.40756867988668,2134390.325138192,11
65,0.3,1.0,0.3,1,26.801908565638826,4.3044292777999384,209.57758571080916,1860985.9582588223,5
66,0.3,1.0,0.3,2,22.579744908990595,3.8410666647756435,189.43025110661443,1676320.8485947049,8
67,0.3,1.0,0.3,4,23.461514836810306,3.601709513068258,176.7078577301043,1937665.3431312672,7
68,0.3,1.0,0.3,6,26.87151142863542,4.31956591254035,217.0444352801639,2257387.123466998,8
69,0.3,1.0,0.3,8,13.065002804962543,3.084392912965236,152.11227768238217,1558970.8135835954,11
70,0.3,1.0,0.4,1,23.886107155417395,4.2719772514626015,205.9680791271938,2021125.9479082301,3
71,0.3,1.0,0.4,2,22.383736283220948,4.120725293340124,203.75322230791832,2050440.988214408,4
72,0.3,1.0,0.4,4,21.171693977508404,4.042754357927836,200.19413221862183,1885833.5212511318,6
73,0.3,1.0,0.4,6,25.183055246857737,4.223172219003636,207.3215398972018,2094713.3123899898,8
74,0.3,1.0,0.4,8,23.725220342592383,4.340531871650082,214.8496433298781,1861374.9769930127,9
75,0.5,0.35,0.05,1,60.77753830019981,7.055523574899939,352.2334387724782,3265082.080292248,22
76,0.5,0.35,0.05,2,24.380497653543372,3.785208616032684,181.47125434724106,2135470.978118213,30
77,0.5,0.35,0.05,4,45.34898351939305,5.263252788584842,260.15091512505063,3013817.225081816,37
78,0.5,0.35,0.05,6,14.034949570988724,3.050497113193523,150.7848619243245,1401883.2175380164,51
79,0.5,0.35,0.05,8,13.6294150872459,2.8587933986097953,139.14674475436078,1205840.524600747,57
80,0.5,0.35,0.1,1,59.66041519081436,6.428929799195398,321.29389304107895,2547764.0688779266,17
81,0.5,0.35,0.1,2,56.72628840154912,6.355386427034818,314.5351839227379,3299411.3951299605,18
82,0.5,0.35,0.1,4,51.57167965690977,5.691888994807983,283.2194336861668,2880056.836468592,24
83,0.5,0.35,0.1,6,51.53560730162705,5.987638570698516,291.0803424217204,2901401.279304417,30
84,0.5,0.35,0.1,8,81.34353274170303,7.417678513211311,371.88792368407496,3742933.57885505,32
85,0.5,0.35,0.2,1,28.28908340966075,4.484433844184337,217.89146272583324,2395776.120557928,16
86,0.5,0.35,0.2,2,45.21659140360537,5.74693533184234,278.2667003130952,2537190.511354062,15
87,0.5,0.35,0.2,4,36.32328079298353,4.990098368067283,245.5078753587697,2120267.7991636344,20
88,0.5,0.35,0.2,6,37.56531216640658,4.915447714586708,236.82064892007276,2149651.376699007,22
89,0.5,0.35,0.2,8,34.54841889576466,4.826592272880973,234.34945329364135,2289432.7214031047,25
90,0.5,0.35,0.3,1,35.9902938332023,4.3885922784575495,208.6168003071422,2644323.1554517727,19
91,0.5,0.35,0.3,2,32.20071581131613,4.317350492894749,199.39118438801142,1779879.6137830527,26
92,0.5,0.35,0.3,4,44.912890963782274,5.457826540191759,264.42767148856205,2788803.669856561,26
93,0.5,0.35,0.3,6,35.48743954405874,4.760849619078674,225.84831748600706,2215972.0627009263,31
94,0.5,0.35,0.3,8,34.96689366875659,4.737583594092061,225.44255065995637,1718634.4013013716,34
95,0.5,0.35,0.4,1,49.967005953210474,5.564362936125686,269.52624795369803,2854473.568063904,18
96,0.5,0.35,0.4,2,35.352661790454256,4.452600973075295,214.2903152200188,2111999.117620265,18
97,0.5,0.35,0.4,4,33.915627030837136,4.329507388912154,209.26514183095205,1790251.3355642438,24
98,0.5,0.35,0.4,6,26.02887625788487,3.507844844312122,173.8657142323978,1685200.7602117027,28
99,0.5,0.35,0.4,8,53.16190453022883,4.62751830537075,229.34504159169632,2731210.4930437272,28
100,0.5,0.5,0.05,1,50.0151268716746,5.892790768964714,297.7942697714159,2865810.1151059833,19
101,0.5,0.5,0.05,2,25.581036774896813,3.973125661360277,195.69470068816733,1951193.384004186,23
102,0.5,0.5,0.05,4,18.027203577824032,3.165457590551166,154.09312504062345,1352626.0047405227,29
103,0.5,0.5,0.05,6,16.90373272944541,3.1509154213679875,152.22603014340203,1542351.683793549,32
104,0.5,0.5,0.05,8,19.28551776270467,3.616387386673996,176.59090718125896,2254497.0780128785,37
105,0.5,0.5,0.1,1,64.19380267170287,6.846230100261475,342.2223998792125,3774402.3714529914,13
106,0.5,0.5,0.1,2,64.11543647169691,6.859754422293957,346.6952563020576,3418915.8440035135,15
107,0.5,0.5,0.1,4,44.0188878411872,5.330350043952516,265.15507188441336,1988927.7208132583,18
108,0.5,0.5,0.1,6,48.2803916827394,5.768819703069967,283.02200284377767,2915494.597791335,22
109,0.5,0.5,0.1,8,54.67443134178561,6.045526436349374,303.6946522567119,2631683.830385698,22
110,0.5,0.5,0.2,1,44.84749589468072,5.5613102209451215,270.5796294962954,2530625.8309937394,10
111,0.5,0.5,0.2,2,40.33612989216397,5.036390778528006,248.79244412517838,1987590.0739247124,12
112,0.5,0.5,0.2,4,35.1749899650514,5.130860177823606,249.681960195126,2406834.440944463,15
113,0.5,0.5,0.2,6,42.75628114937629,5.474449970884707,272.13349997419834,2694763.038599151,16
