,eta,epsilon,mu,K,TMSE,CB
190,0.2,0.5,0.3,1,0.17364198626499833,6
191,0.2,0.5,0.3,2,0.12285380903171861,6
192,0.2,0.5,0.3,4,0.024805755477931957,7
193,0.2,0.5,0.3,6,0.01850639200431893,7
194,0.2,0.5,0.3,8,0.025417072400900208,7
195,0.2,0.5,0.4,1,0.300714755215883,5
196,0.2,0.5,0.4,2,0.2798234541384794,6
197,0.2,0.5,0.4,4,0.030688491083208497,7
198,0.2,0.5,0.4,6,0.018771835313213386,7
199,0.2,0.5,0.4,8,0.026092096035568346,7
200,0.2,1.0,0.05,1,0.5167175011625196,4
201,0.2,1.0,0.05,2,0.5197057459400223,4
202,0.2,1.0,0.05,4,0.522653779405396,4
203,0.2,1.0,0.05,6,0.5232766674153223,4
204,0.2,1.0,0.05,8,0.5232766674153223,4
205,0.2,1.0,0.1,1,0.5090019258787855,4
206,0.2,1.0,0.1,2,0.5154434214145597,4
207,0.2,1.0,0.1,4,0.5220814696351841,4
208,0.2,1.0,0.1,6,0.5232766674153223,4
209,0.2,1.0,0.1,8,0.5232766674153223,4
210,0.2,1.0,0.2,1,0.49099594562111837,4
211,0.2,1.0,0.2,2,0.5037031050892863,4
212,0.2,1.0,0.2,4,0.5232961244294496,4
213,0.2,1.0,0.2,6,0.5232766674153223,4
214,0.2,1.0,0.2,8,0.5232766674153223,4
215,0.2,1.0,0.3,1,0.5713849814383565,3
216,0.2,1.0,0.3,2,0.4887995141506211,4
217,0.2,1.0,0.3,4,0.5232433775532243,4
218,0.2,1.0,0.3,6,0.5232766674153223,4
219,0.2,1.0,0.3,8,0.5232766674153223,4
220,0.2,1.0,0.4,1,0.6641593758123138,3
221,0.2,1.0,0.4,2,0.6765948114618294,4
222,0.2,1.0,0.4,4,0.5231707025995751,4
223,0.2,1.0,0.4,6,0.5232766674153223,4
224,0.2,1.0,0.4,8,0.5232766674153223,4
