,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
26,0.35,0.35,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
27,0.35,0.35,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
28,0.35,0.35,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
29,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
30,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
31,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
32,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
33,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
34,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
35,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
36,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
37,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
38,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
39,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
40,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
