,eta,epsilon,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
21,0.3,0.35,0.4,2,1.9103200684620516,0.6799841297966348,13,13,8,5.5
22,0.3,0.35,0.4,4,1.054430462541753,0.6762361685407298,11,11,11,0.5
23,0.3,0.35,0.4,6,2.367113364386535,0.16995746718622806,17,17,11,6.0
24,0.3,0.35,0.4,8,0.834991646843136,0.290346172784304,20,20,20,0.0
25,0.3,0.5,0.05,1,1.0256893038473907,0.4578415119072206,15,15,11,4.0
26,0.3,0.5,0.05,2,0.9667678410555924,0.32900738042435057,15,15,12,3.5
27,0.3,0.5,0.05,4,0.8942775556275877,0.30397083525022256,16,16,13,3.0
28,0.3,0.5,0.05,6,0.9038317113144636,0.3003598248164055,16,16,13,3.0
29,0.3,0.5,0.05,8,0.9179849383076699,0.3694391940012429,16,16,13,3.5
30,0.3,0.5,0.1,1,1.2782378992520949,0.6423982025814381,13,13,9,4.0
31,0.3,0.5,0.1,2,1.2714252219758193,0.36555537600015464,15,15,10,5.0
32,0.3,0.5,0.1,4,0.9094212659901058,0.19584867431573022,15,15,12,3.0
33,0.3,0.5,0.1,6,0.8332434171822175,0.3221318469104183,15,15,13,2.0
34,0.3,0.5,0.1,8,0.9486150010733635,0.35801368363798713,15,15,12,3.0
35,0.3,0.5,0.2,1,1.9559949670714254,0.8573139003260366,8,8,7,1.0
36,0.3,0.5,0.2,2,1.7721793971858215,0.296685882376189,13,13,7,6.0
37,0.3,0.5,0.2,4,0.8368679159194012,0.3335341693352907,14,14,11,3.0
38,0.3,0.5,0.2,6,0.7052587620688825,0.4106811767842454,13,13,11,2.0
39,0.3,0.5,0.2,8,0.658433926136844,0.4475594102812456,13,13,12,1.5
40,0.3,0.5,0.3,1,1.8358548987292118,0.2628212983942816,5,5,5,0.0
41,0.3,0.5,0.3,2,1.4461870459101616,0.7787406299880955,8,8,6,2.0
42,0.3,0.5,0.3,4,1.3965289505176168,0.24468554711889645,10,10,10,0.5
43,0.3,0.5,0.3,6,0.9861342719465203,0.4529801550687787,10,10,10,0.5
44,0.3,0.5,0.3,8,0.83834204331465,0.40840334870802897,12,12,11,1.0
45,0.3,0.5,0.4,1,1.777081308805544,0.8337733488443535,5,5,5,0.0
46,0.3,0.5,0.4,2,1.360125275691358,1.0909979307305233,8,8,7,1.0
47,0.3,0.5,0.4,4,1.9266829903364895,0.4409599091333243,9,9,9,0.5
48,0.3,0.5,0.4,6,1.244905431981737,0.7399996351896906,10,10,9,1.0
49,0.3,0.5,0.4,8,1.5332639263103438,1.2078791563783542,12,12,11,1.0
50,0.3,1.0,0.05,1,1.2304876946261258,0.36788509850001366,6,6,6,0.5
51,0.3,1.0,0.05,2,1.1266091462600196,0.45080054571088984,6,6,6,0.5
52,0.3,1.0,0.05,4,1.1352355513238983,0.45254651164288023,7,7,6,1.0
53,0.3,1.0,0.05,6,1.061401168942416,0.37496608408394094,7,7,6,1.0
54,0.3,1.0,0.05,8,1.0290261206557065,0.40734113237065067,7,7,6,1.0
55,0.3,1.0,0.1,1,1.297651929757691,0.552169507787235,6,6,6,0.0
56,0.3,1.0,0.1,2,1.140722757241864,0.5002566941088817,8,8,6,2.0
57,0.3,1.0,0.1,4,1.2291334833645235,0.4941984576306056,7,7,6,1.0
58,0.3,1.0,0.1,6,1.0882181118731769,0.34814914115318024,7,7,6,1.0
59,0.3,1.0,0.1,8,1.0290261206557065,0.40734113237065067,7,7,6,1.0
60,0.3,1.0,0.2,1,1.4688765031568738,0.6082175975162798,4,4,4,0.5
61,0.3,1.0,0.2,2,1.385436439800091,0.5698585434879062,7,7,5,2.0
62,0.3,1.0,0.2,4,1.3107406518819948,0.5661461022484173,6,6,6,0.5
63,0.3,1.0,0.2,6,1.0993299741489675,0.3370372788773896,6,6,6,0.5
64,0.3,1.0,0.2,8,1.0290261206557065,0.40734113237065067,7,7,6,1.0
65,0.3,1.0,0.3,1,1.5628857550720532,0.820543727168712,4,4,4,0.5
66,0.3,1.0,0.3,2,1.0650361629211775,0.6057297189454885,6,6,5,1.0
67,0.3,1.0,0.3,4,1.3987582979911033,0.641095746292339,6,6,6,0.5
68,0.3,1.0,0.3,6,1.0799464146136146,0.35642083841274264,6,6,6,0.5
69,0.3,1.0,0.3,8,1.0290261206557065,0.40734113237065067,7,7,6,1.0
70,0.3,1.0,0.4,1,1.5624418107326745,0.9349954576073736,3,3,3,0.5
71,0.3,1.0,0.4,2,0.8826498936532863,0.6565589901038408,6,6,5,1.0
72,0.3,1.0,0.4,4,1.365000289770526,0.6759887706600071,6,6,6,0.5
73,0.3,1.0,0.4,6,1.022441381902178,0.41392587112417906,6,6,6,0.5
74,0.3,1.0,0.4,8,1.0290261206557065,0.40734113237065067,7,7,6,1.0
75,0.5,0.35,0.05,1,1.1992333023592288,0.5537718256289569,19,19,16,3.0
76,0.5,0.35,0.05,2,1.1699085648376442,0.4604029780338671,19,19,17,2.5
77,0.5,0.35,0.05,4,1.199890651489751,0.3888338147673319,22,22,18,4.5
78,0.5,0.35,0.05,6,1.0509267857117222,0.4675578470578167,24,24,19,5.5
79,0.5,0.35,0.05,8,1.0739893460368308,0.38047543750167884,22,22,20,2.5
80,0.5,0.35,0.1,1,1.8011754419559318,0.6373045067448826,15,15,13,2.5
81,0.5,0.35,0.1,2,1.5188359401773264,0.4327671747569505,17,17,14,3.0
82,0.5,0.35,0.1,4,1.4571114101755076,0.8973647305715229,15,15,15,0.5
83,0.5,0.35,0.1,6,1.3037429322506082,0.6220193110650962,21,21,16,5.0
84,0.5,0.35,0.1,8,0.9673753958766897,0.37435806981690983,18,18,17,1.0
85,0.5,0.35,0.2,1,2.7029374580761907,0.2709230626298704,13,13,12,1.5
86,0.5,0.35,0.2,2,2.4175023847842323,0.13109696568905083,11,11,11,0.5
87,0.5,0.35,0.2,4,2.3689416350607964,0.11613641581882717,12,12,12,0.5
88,0.5,0.35,0.2,6,1.0243215328961208,0.636416093758157,18,18,14,4.5
89,0.5,0.35,0.2,8,1.0865898142202333,0.6312820323681536,15,15,13,2.0
90,0.5,0.35,0.3,1,2.3724077690478778,0.37962607464066644,10,10,9,1.0
91,0.5,0.35,0.3,2,2.827904009481574,0.09448893951181891,10,10,10,0.5
92,0.5,0.35,0.3,4,1.2070176589649437,0.7389200947999974,12,12,12,0.5
93,0.5,0.35,0.3,6,2.065543463173624,0.3445443910875061,15,15,11,4.5
94,0.5,0.35,0.3,8,0.9411163396703183,0.4683665288846258,14,14,13,1.0
95,0.5,0.35,0.4,1,2.4618465996875036,0.14047857071667513,6,6,6,0.5
