,eta,epsilon,sigma_init,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
127,0.05,0.5,0.6,0.05,4,0.41461670373299964,0.058663757240309866,27,27,17,10.0
128,0.05,0.5,0.6,0.05,6,0.42382397576601577,0.05586561474703822,27,27,17,10.0
129,0.05,0.5,0.6,0.05,8,0.4345234710187508,0.05149609474524172,27,27,17,10.0
130,0.05,0.5,0.6,0.1,1,0.37070505828722533,0.0644581215388298,27,27,17,10.0
131,0.05,0.5,0.6,0.1,2,0.3715282099042992,0.06394246610126464,27,27,17,10.0
132,0.05,0.5,0.6,0.1,4,0.3769691060344774,0.06030409728332761,27,27,17,10.0
133,0.05,0.5,0.6,0.1,6,0.3878540558517371,0.056972163233501516,27,27,17,10.0
134,0.05,0.5,0.6,0.1,8,0.4019599640649432,0.05132282081105333,27,27,17,10.0
135,0.05,0.5,0.6,0.2,1,0.32992594803102737,0.06310325248236437,27,27,17,10.0
136,0.05,0.5,0.6,0.2,2,0.33059640493847187,0.06265400644401181,27,27,17,10.0
137,0.05,0.5,0.6,0.2,4,0.33517293068283954,0.059364960683235324,27,27,17,10.0
138,0.05,0.5,0.6,0.2,6,0.34423284989277,0.05562801719237265,27,27,17,10.0
139,0.05,0.5,0.6,0.2,8,0.3582313898670556,0.04951127903101535,27,27,17,10.0
140,0.05,0.5,0.6,0.3,1,0.30882478188143,0.061056200510859956,27,27,17,10.0
141,0.05,0.5,0.6,0.3,2,0.30931066189866563,0.060682747151169975,27,27,17,10.0
142,0.05,0.5,0.6,0.3,4,0.31275692265482824,0.057858550488503496,27,27,17,10.0
143,0.05,0.5,0.6,0.3,6,0.31886976432267095,0.053669201008850864,27,27,17,10.0
144,0.05,0.5,0.6,0.3,8,0.33022796099636553,0.047464677742454026,27,27,17,10.0
145,0.05,0.5,0.6,0.4,1,0.29625884444627104,0.059471715415775964,27,27,17,10.0
146,0.05,0.5,0.6,0.4,2,0.29658854832923165,0.05916286302826686,27,27,17,10.0
147,0.05,0.5,0.6,0.4,4,0.2990671437896234,0.056741424529622456,27,27,17,10.0
