,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,mean_CB,mean_TMSE
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.2478669200999,12.138185950416696,12.107164121517052,12.193299096643964,12.325062559226385,12.396379755383137,12.37035866540163,12.271412469598502,12.155933353325487,1.0,12.245073654623639
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866884368934,12.138185976347659,12.107164154426108,12.193299129195571,12.325062584928528,12.39637976851149,12.370358663294569,12.27141245305707,12.155933376740935,1.0,12.245073665652319
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866849704089,12.138186005798586,12.107164188041125,12.19329915910821,12.325062604944328,12.39637977398725,12.370358653178364,12.271412429624133,12.155933404000923,1.0,12.245073674265225
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866811142252,12.138186037375595,12.107164220635182,12.193299184710957,12.325062617994465,12.396379771209794,12.37035863525249,12.271412400241056,12.155933433839346,1.0,12.245073679155684
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866775293492,12.138186069518975,12.107164250465416,12.193299204489609,12.325062623109654,12.396379759982477,12.37035861012941,12.271412366195255,12.15593346480592,1.0,12.245073680443356
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866744857804,12.138186100576435,12.107164275862065,12.193299217171337,12.325062619693801,12.396379740540008,12.370358578820582,12.271412329068585,12.155933495333029,1.0,12.245073677991517
33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866724337621,12.138186128884676,12.107164295317807,12.193299221800537,12.325062607570436,12.39637971355434,12.370358542700794,12.271412290667783,12.15593352381185,1.0,12.245073672071761
34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866716863436,12.138186152855141,12.107164307572564,12.19329921780151,12.32506258700923,12.396379680117915,12.370358503451856,12.271412252940076,12.155933548674039,1.0,12.245073663031754
35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866716036276,12.138186171059592,12.107164311689148,12.193299205024028,12.325062558730451,12.396379641704257,12.370358462987877,12.271412217877836,12.155933568474806,1.0,12.245073650398254
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.247866717767538,12.138186182310873,12.107164307115267,12.193299183768746,12.325062523886107,12.396379600107043,12.370358423365303,12.271412187416923,12.155933581973127,1.0,12.245073634190103
