,eta,epsilon,mu,K,TMSE,CB
126,0.5,1.0,0.05,2,5.049230846371172,10
127,0.5,1.0,0.05,4,5.756771061798682,11
128,0.5,1.0,0.05,6,4.380433038689569,12
129,0.5,1.0,0.05,8,3.3587628882809923,12
130,0.5,1.0,0.1,1,22.331124253850653,7
131,0.5,1.0,0.1,2,14.718675628321702,8
132,0.5,1.0,0.1,4,16.174209583574985,9
133,0.5,1.0,0.1,6,11.118129735870406,10
134,0.5,1.0,0.1,8,6.966781883801789,12
135,0.5,1.0,0.2,1,11.62219633803887,5
136,0.5,1.0,0.2,2,11.592744037245946,6
137,0.5,1.0,0.2,4,15.145673418271858,7
138,0.5,1.0,0.2,6,16.076779131007896,9
139,0.5,1.0,0.2,8,15.943964069174871,11
140,0.5,1.0,0.3,1,13.847827540490778,4
141,0.5,1.0,0.3,2,13.323172505409593,5
142,0.5,1.0,0.3,4,12.474197029978338,6
143,0.5,1.0,0.3,6,14.326555325775738,8
144,0.5,1.0,0.3,8,15.315248893490079,10
145,0.5,1.0,0.4,1,10.760936035475744,3
146,0.5,1.0,0.4,2,9.620923052706939,4
147,0.5,1.0,0.4,4,9.392186043286376,6
148,0.5,1.0,0.4,6,9.754329769114053,8
149,0.5,1.0,0.4,8,8.598165562155437,10
150,0.9,0.35,0.05,1,15.10655730768137,21
151,0.9,0.35,0.05,2,19.713068425002334,22
152,0.9,0.35,0.05,4,15.160263605500479,26
153,0.9,0.35,0.05,6,16.099384122183757,29
154,0.9,0.35,0.05,8,15.245071949044615,34
155,0.9,0.35,0.1,1,15.153037176363995,14
156,0.9,0.35,0.1,2,13.321432072821898,15
157,0.9,0.35,0.1,4,14.336691328539256,18
158,0.9,0.35,0.1,6,17.533566498560297,21
159,0.9,0.35,0.1,8,19.801643297510925,23
160,0.9,0.35,0.2,1,13.02412596376881,11
161,0.9,0.35,0.2,2,13.766031887798743,13
162,0.9,0.35,0.2,4,11.643634665598992,13
163,0.9,0.35,0.2,6,11.956404933721121,16
164,0.9,0.35,0.2,8,9.441660614334555,19
165,0.9,0.35,0.3,1,9.270290805257194,13
166,0.9,0.35,0.3,2,8.88983837515135,17
167,0.9,0.35,0.3,4,11.019380005931886,17
168,0.9,0.35,0.3,6,10.575655513908849,22
169,0.9,0.35,0.3,8,5.56110684594911,21
170,0.9,0.35,0.4,1,8.891144451004646,12
171,0.9,0.35,0.4,2,10.053554646678881,14
172,0.9,0.35,0.4,4,12.55472006361367,17
173,0.9,0.35,0.4,6,11.027113613686247,18
174,0.9,0.35,0.4,8,12.3124806445806,20
175,0.9,0.5,0.05,1,21.418606925929122,17
176,0.9,0.5,0.05,2,22.26675631503104,19
177,0.9,0.5,0.05,4,21.35310175595197,20
178,0.9,0.5,0.05,6,20.794978173400814,22
179,0.9,0.5,0.05,8,19.055097636791096,24
180,0.9,0.5,0.1,1,15.134294987408788,11
181,0.9,0.5,0.1,2,14.953050204575291,12
182,0.9,0.5,0.1,4,20.918567084999133,15
183,0.9,0.5,0.1,6,19.313852659918645,15
184,0.9,0.5,0.1,8,27.453758367449893,18
185,0.9,0.5,0.2,1,12.243754325194441,8
186,0.9,0.5,0.2,2,10.706821366779756,8
187,0.9,0.5,0.2,4,11.16429261448408,9
188,0.9,0.5,0.2,6,11.007764947916575,11
189,0.9,0.5,0.2,8,9.487596223070922,14
190,0.9,0.5,0.3,1,9.101538529986971,8
191,0.9,0.5,0.3,2,10.268238779356455,10
192,0.9,0.5,0.3,4,7.428570662843073,11
193,0.9,0.5,0.3,6,9.40096851497761,11
194,0.9,0.5,0.3,8,7.103138633222727,15
195,0.9,0.5,0.4,1,8.99753653006071,8
196,0.9,0.5,0.4,2,7.527343603396368,8
197,0.9,0.5,0.4,4,14.79133960751364,8
198,0.9,0.5,0.4,6,13.632618076255792,10
199,0.9,0.5,0.4,8,10.972007800440478,11
200,0.9,1.0,0.05,1,19.515237395926068,10
201,0.9,1.0,0.05,2,17.536169861556285,10
202,0.9,1.0,0.05,4,16.79971310686731,11
203,0.9,1.0,0.05,6,13.959900818071759,12
204,0.9,1.0,0.05,8,11.201056685056342,12
205,0.9,1.0,0.1,1,40.11021279743313,7
206,0.9,1.0,0.1,2,31.752920525356963,8
207,0.9,1.0,0.1,4,37.07927725139389,9
208,0.9,1.0,0.1,6,29.199382107827347,11
209,0.9,1.0,0.1,8,22.002636703647788,12
210,0.9,1.0,0.2,1,12.347368426845085,5
211,0.9,1.0,0.2,2,12.924538114547124,6
212,0.9,1.0,0.2,4,22.335541523273093,7
213,0.9,1.0,0.2,6,27.487155407537795,9
214,0.9,1.0,0.2,8,42.24032821561517,11
215,0.9,1.0,0.3,1,16.01618000289805,4
216,0.9,1.0,0.3,2,15.62626860847314,5
217,0.9,1.0,0.3,4,18.445710196788234,7
218,0.9,1.0,0.3,6,23.07281128323798,8
219,0.9,1.0,0.3,8,29.87269428394768,10
220,0.9,1.0,0.4,1,11.48373816869111,3
221,0.9,1.0,0.4,2,9.748144014540083,4
222,0.9,1.0,0.4,4,9.542148412237008,6
223,0.9,1.0,0.4,6,9.886826430732425,8
224,0.9,1.0,0.4,8,9.784359146220876,10
