,eta,epsilon,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
47,0.3,0.5,0.4,4,0.13748648172085565,0.19462104650136414,14,7,7,52.67304813659457
48,0.3,0.5,0.4,6,0.20569663946216607,0.052568027037939634,13,6,6,52.07465410350799
49,0.3,0.5,0.4,8,0.2069945156484558,0.07040160745324069,6,6,6,1.4079772725438413
50,0.3,1.0,0.05,1,0.43097440753253347,0.26387249769768634,5,6,6,0.529150262212918
51,0.3,1.0,0.05,2,0.4546435741680781,0.2643065905277422,5,6,6,0.5351635264103858
52,0.3,1.0,0.05,4,0.4819484415136535,0.25346732612186856,5,5,5,0.5381449618829487
53,0.3,1.0,0.05,6,0.5463219834822529,0.2504058496205754,5,5,5,0.5199999999999998
54,0.3,1.0,0.05,8,0.546254429108127,0.25052172316772714,5,5,5,0.5199999999999998
55,0.3,1.0,0.1,1,0.3963524606143079,0.25402510264798583,5,6,6,0.49999999999999994
56,0.3,1.0,0.1,2,0.4232819592152028,0.261311114000144,5,6,6,0.5199999999999998
57,0.3,1.0,0.1,4,0.4922236070913146,0.248027179284352,5,5,5,0.5370288632839023
58,0.3,1.0,0.1,6,0.5524948559433076,0.24348873422995507,5,5,5,0.5199999999999998
59,0.3,1.0,0.1,8,0.546254429108127,0.25052172316772714,5,5,5,0.5199999999999998
60,0.3,1.0,0.2,1,0.3887849722152684,0.2474185464296386,5,6,6,0.5670978751503131
61,0.3,1.0,0.2,2,0.3977323599697249,0.28333962646361166,5,6,6,0.6499230723708771
62,0.3,1.0,0.2,4,0.4840675573994044,0.24447279390135568,5,5,5,0.5381449618829487
63,0.3,1.0,0.2,6,0.5580118570645141,0.2437079886690404,5,5,5,0.5199999999999998
64,0.3,1.0,0.2,8,0.546254429108127,0.25052172316772714,5,5,5,0.5199999999999998
65,0.3,1.0,0.3,1,0.36180869786262293,0.24479201032006165,5,6,6,0.5043808085167399
66,0.3,1.0,0.3,2,0.37366826131106845,0.3000131534214927,5,6,6,0.7310266752998829
67,0.3,1.0,0.3,4,0.4147735265249563,0.28943407886078515,5,6,5,0.8380930735902787
68,0.3,1.0,0.3,6,0.5493507791503169,0.246089844907356,5,5,5,0.9200000000000013
69,0.3,1.0,0.3,8,0.546254429108127,0.25052172316772714,5,5,5,0.5199999999999998
70,0.3,1.0,0.4,1,0.3886314696555332,0.28802100296828986,5,6,6,0.7549834435270755
71,0.3,1.0,0.4,2,0.34753600669037793,0.3239689377918565,6,6,5,1.2749901960407377
72,0.3,1.0,0.4,4,0.4078437314034031,0.28547127874206224,5,6,5,0.8799999999999999
73,0.3,1.0,0.4,6,0.5581713910112158,0.24380534661013523,5,5,5,0.5963220606350226
74,0.3,1.0,0.4,8,0.546254429108127,0.25052172316772714,5,5,5,0.5199999999999998
