,eta,epsilon,mu,K,TMSE,CB,tradeOff
68,0.05,1.0,0.3,6,0.46719283664194855,5,0.4671945088606569
69,0.05,1.0,0.3,8,0.46719283664194855,5,0.4671945088606569
70,0.05,1.0,0.4,1,0.35896990762633846,5,0.3589720839860141
71,0.05,1.0,0.4,2,0.6163753053094819,6,0.6163771304934642
72,0.05,1.0,0.4,4,0.006468595118557161,16,0.007605440342795513
73,0.05,1.0,0.4,6,0.46719283664194855,5,0.4671945088606569
74,0.05,1.0,0.4,8,0.46719283664194855,5,0.4671945088606569
75,0.1,0.35,0.05,1,0.02485128051872475,20,0.025349282897556457
76,0.1,0.35,0.05,2,0.01518359119520746,23,0.01623588437945964
77,0.1,0.35,0.05,4,0.03215006763503145,20,0.03253654635847352
78,0.1,0.35,0.05,6,0.01458887501029221,24,0.015774513433571526
79,0.1,0.35,0.05,8,0.013966857894010594,25,0.015301490758468145
80,0.1,0.35,0.1,1,0.037519695510185594,16,0.03773231441585635
81,0.1,0.35,0.1,2,0.039190020175592845,27,0.03976707408602466
82,0.1,0.35,0.1,4,0.06209941178943774,16,0.062228104137874544
83,0.1,0.35,0.1,6,0.009750724365848538,28,0.012003192311162576
84,0.1,0.35,0.1,8,0.004797393236519836,53,0.014091752263853004
85,0.1,0.35,0.2,1,0.08463276605994985,16,0.08472723936821144
86,0.1,0.35,0.2,2,0.5514405978584751,17,0.5514569751725991
87,0.1,0.35,0.2,4,0.07581834151164905,15,0.07591102297806983
88,0.1,0.35,0.2,6,0.2661208635692031,35,0.26626467382440805
89,0.1,0.35,0.2,8,0.015455710240102056,27,0.016865392940159905
90,0.1,0.35,0.3,1,0.6516058681647349,8,0.6516089374975744
91,0.1,0.35,0.3,2,0.10187608065466361,33,0.10220958032178552
92,0.1,0.35,0.3,4,0.009721686232581014,65,0.018936041909669382
93,0.1,0.35,0.3,6,0.5991443591118194,29,0.5991882221435205
94,0.1,0.35,0.3,8,0.1508060861989,22,0.1509063472310892
95,0.1,0.35,0.4,1,0.5796814376039774,7,0.5796840791350181
96,0.1,0.35,0.4,2,0.6162078220159947,10,0.6162128933361389
97,0.1,0.35,0.4,4,0.009172031064304512,62,0.018010445687005276
98,0.1,0.35,0.4,6,0.013305348685145437,29,0.01515238607062602
99,0.1,0.35,0.4,8,0.06914102673222607,21,0.0693400611305355
100,0.1,0.5,0.05,1,0.42786189789044854,11,0.42787073534703984
101,0.1,0.5,0.05,2,0.04887429857229638,12,0.04896628494110996
102,0.1,0.5,0.05,4,0.032973682236063895,12,0.033109873454981904
103,0.1,0.5,0.05,6,0.019347981370761765,13,0.01961904388912325
104,0.1,0.5,0.05,8,0.018444177673421307,14,0.018773323894524727
105,0.1,0.5,0.1,1,0.051279957283697615,11,0.05135364173082423
106,0.1,0.5,0.1,2,0.054706908913100226,11,0.05477598363175457
107,0.1,0.5,0.1,4,0.04409867409672702,12,0.04420060018924339
108,0.1,0.5,0.1,6,0.01795586667826749,15,0.01834327255883521
109,0.1,0.5,0.1,8,0.0383529187008496,17,0.03858767773362345
110,0.1,0.5,0.2,1,0.32889488079051676,7,0.328899536500446
111,0.1,0.5,0.2,2,0.15206163025362354,8,0.15207478224672794
112,0.1,0.5,0.2,4,0.06052667962720649,11,0.0605891198706046
113,0.1,0.5,0.2,6,0.014073118737877699,14,0.014501816128002878
114,0.1,0.5,0.2,8,0.006990629852114946,38,0.011794867770741672
115,0.1,0.5,0.3,1,0.4045542651243488,7,0.40455805013656804
116,0.1,0.5,0.3,2,0.6562168245402694,9,0.65622068186679
117,0.1,0.5,0.3,4,0.02111299200998574,10,0.02126048991941911
118,0.1,0.5,0.3,6,0.11830047973530443,11,0.11833243851794475
119,0.1,0.5,0.3,8,0.0513191119316767,46,0.052591836338503735
120,0.1,0.5,0.4,1,0.0897253324900275,9,0.08975353915275978
121,0.1,0.5,0.4,2,0.48020374097784263,8,0.48020790585861345
122,0.1,0.5,0.4,4,0.004472501470698218,127,0.03206346471305616
123,0.1,0.5,0.4,6,0.33539493434416146,11,0.3354062081770765
124,0.1,0.5,0.4,8,0.05680785290486813,19,0.05700609310995742
125,0.1,1.0,0.05,1,0.45707910708131944,5,0.45708081630085534
126,0.1,1.0,0.05,2,0.46748999440025707,5,0.4674916655560315
127,0.1,1.0,0.05,4,0.48227783997864804,5,0.4822794598927788
128,0.1,1.0,0.05,6,0.4687007256670817,5,0.46870239250600054
129,0.1,1.0,0.05,8,0.4687007256670817,5,0.46870239250600054
130,0.1,1.0,0.1,1,0.45028139013544083,5,0.45028312515827756
131,0.1,1.0,0.1,2,0.4685361237321477,5,0.4685377911566434
132,0.1,1.0,0.1,4,0.4963513751733611,5,0.49635294915663253
