,Unnamed: 0,eta,epsilon,mu,K,TMSE,CB
67,67,0.3,1.0,0.3,4,0.39116372400133104,6
68,68,0.3,1.0,0.3,6,0.5090154728217354,5
69,69,0.3,1.0,0.3,8,0.5065738949732799,5
70,70,0.3,1.0,0.4,1,0.3836617923335547,6
71,71,0.3,1.0,0.4,2,0.3634825966354438,5
72,72,0.3,1.0,0.4,4,0.3639318505215063,6
73,73,0.3,1.0,0.4,6,0.510753566821045,5
74,74,0.3,1.0,0.4,8,0.5065738949732799,5
75,75,0.5,0.35,0.05,1,0.03998736757723564,7
76,76,0.5,0.35,0.05,2,0.04602065642376243,7
77,77,0.5,0.35,0.05,4,0.054553448086132855,7
78,78,0.5,0.35,0.05,6,0.058777083337480725,7
79,79,0.5,0.35,0.05,8,0.058971203272714476,7
80,80,0.5,0.35,0.1,1,0.049424393454187386,7
81,81,0.5,0.35,0.1,2,0.04168451300051524,7
82,82,0.5,0.35,0.1,4,0.04525215362717569,8
83,83,0.5,0.35,0.1,6,0.057545583089858965,8
84,84,0.5,0.35,0.1,8,0.06446220627879677,7
85,85,0.5,0.35,0.2,1,0.1771773316090691,7
86,86,0.5,0.35,0.2,2,0.055926646575594784,7
87,87,0.5,0.35,0.2,4,0.0488478015843224,7
88,88,0.5,0.35,0.2,6,0.04928847569024358,10
89,89,0.5,0.35,0.2,8,0.07314680649998694,7
90,90,0.5,0.35,0.3,1,0.2858662355085858,6
91,91,0.5,0.35,0.3,2,0.16582134622910746,11
92,92,0.5,0.35,0.3,4,0.064351983928501,12
93,93,0.5,0.35,0.3,6,0.0485751063990904,16
94,94,0.5,0.35,0.3,8,0.06005335211572025,7
95,95,0.5,0.35,0.4,1,0.37417983445995295,11
96,96,0.5,0.35,0.4,2,0.1566214677721481,38
97,97,0.5,0.35,0.4,4,0.05477556916628757,29
98,98,0.5,0.35,0.4,6,0.0813617174964638,82
99,99,0.5,0.35,0.4,8,0.07563327600822108,77
