,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
311,0.5,0.01,0.1,5,0.5367929817985962,410,0.5464914960987298
312,0.5,0.01,0.1,10,1.866860927794999,340,1.8687949924289728
313,0.5,0.01,0.1,15,2.849526646301857,940,2.859200431586479
314,0.5,0.01,0.1,20,3.1890063663479706,1129,3.201472577909717
315,0.5,0.01,1.0,2,0.6071163769858893,360,0.6137510042390745
316,0.5,0.01,1.0,5,,3956,
317,0.5,0.01,1.0,10,2.2961206357458286,126,2.2963366965447007
318,0.5,0.01,1.0,15,,3934,
319,0.5,0.01,1.0,20,,3863,
320,0.5,0.01,1.5,2,,3995,
321,0.5,0.01,1.5,5,,3995,
322,0.5,0.01,1.5,10,,3995,
323,0.5,0.01,1.5,15,,3995,
324,0.5,0.01,1.5,20,,3995,
325,0.5,0.01,2.0,2,,3995,
326,0.5,0.01,2.0,5,,3995,
327,0.5,0.01,2.0,10,,3995,
328,0.5,0.01,2.0,15,,3995,
329,0.5,0.01,2.0,20,,3995,
330,0.5,0.1,0.001,2,0.04317538106455561,360,0.09982040638100802
331,0.5,0.1,0.001,5,0.040252892115485106,371,0.10110814914565928
332,0.5,0.1,0.001,10,0.037591500724806576,387,0.10379635555617131
333,0.5,0.1,0.001,15,0.0343168065971534,398,0.10525157108103628
334,0.5,0.1,0.001,20,0.03344623982989089,400,0.10544501391132054
335,0.5,0.1,0.1,2,4.672088548662112,26,4.6720930701923775
336,0.5,0.1,0.1,5,2.6971592347748317,20,2.6971638692766065
337,0.5,0.1,0.1,10,7.265393092550406,46,7.265402193910476
338,0.5,0.1,0.1,15,6.5833960984127184,154,6.583508672326316
339,0.5,0.1,0.1,20,7.875214135400461,51,7.875224456541619
340,0.5,0.1,0.1,2,4.672088548662112,26,4.6720930701923775
341,0.5,0.1,0.1,5,2.6971592347748317,20,2.6971638692766065
342,0.5,0.1,0.1,10,7.265393092550406,46,7.265402193910476
343,0.5,0.1,0.1,15,6.5833960984127184,154,6.583508672326316
344,0.5,0.1,0.1,20,7.875214135400461,51,7.875224456541619
345,0.5,0.1,1.0,2,1.309471290841773,66,1.3095752408849288
346,0.5,0.1,1.0,5,2.3007139295177046,61,2.300764470339543
347,0.5,0.1,1.0,10,,1615,
348,0.5,0.1,1.0,15,0.4337516784090753,106,0.43456043138174677
349,0.5,0.1,1.0,20,,3277,
350,0.5,0.1,1.5,2,,3960,
351,0.5,0.1,1.5,5,,3948,
352,0.5,0.1,1.5,10,,3978,
353,0.5,0.1,1.5,15,,3981,
354,0.5,0.1,1.5,20,,3981,
355,0.5,0.1,2.0,2,,3986,
356,0.5,0.1,2.0,5,,3983,
357,0.5,0.1,2.0,10,,3981,
358,0.5,0.1,2.0,15,,3981,
359,0.5,0.1,2.0,20,,3981,
360,0.5,1.0,0.001,2,0.029152686719741572,15,0.0293928842235565
361,0.5,1.0,0.001,5,0.028796361351191103,15,0.029039506315851386
362,0.5,1.0,0.001,10,0.02855640386302546,15,0.02880157463730439
363,0.5,1.0,0.001,15,0.02811045007072865,15,0.028359476426389262
364,0.5,1.0,0.001,20,0.02811045007072865,15,0.028359476426389262
365,0.5,1.0,0.1,2,0.5974897167524404,11,0.5974960452797253
366,0.5,1.0,0.1,5,0.012308810660129873,15,0.012867374241348808
367,0.5,1.0,0.1,10,0.04370732187686357,13,0.0438279874697408
368,0.5,1.0,0.1,15,0.02811045007072865,15,0.028359476426389262
369,0.5,1.0,0.1,20,0.02811045007072865,15,0.028359476426389262
370,0.5,1.0,0.1,2,0.5974897167524404,11,0.5974960452797253
371,0.5,1.0,0.1,5,0.012308810660129873,15,0.012867374241348808
372,0.5,1.0,0.1,10,0.04370732187686357,13,0.0438279874697408
373,0.5,1.0,0.1,15,0.02811045007072865,15,0.028359476426389262
374,0.5,1.0,0.1,20,0.02811045007072865,15,0.028359476426389262
375,0.5,1.0,1.0,2,3.0318983113129887,15,3.0319006304037326
376,0.5,1.0,1.0,5,0.0890301743349163,15,0.08910911537045797
377,0.5,1.0,1.0,10,0.05430314011682985,12,0.05438594511956242
378,0.5,1.0,1.0,15,0.02811045007072865,15,0.028359476426389262
379,0.5,1.0,1.0,20,0.02811045007072865,15,0.028359476426389262
380,0.5,1.0,1.5,2,,3409,
381,0.5,1.0,1.5,5,,2983,
382,0.5,1.0,1.5,10,0.1455545915926217,14,0.14559666594292225
383,0.5,1.0,1.5,15,0.02811045007072865,15,0.028359476426389262
384,0.5,1.0,1.5,20,0.02811045007072865,15,0.028359476426389262
385,0.5,1.0,2.0,2,,3960,
386,0.5,1.0,2.0,5,,3955,
387,0.5,1.0,2.0,10,,3822,
388,0.5,1.0,2.0,15,0.02811045007072865,15,0.028359476426389262
389,0.5,1.0,2.0,20,0.02811045007072865,15,0.028359476426389262
390,0.5,1.5,0.001,2,0.21902534221866574,7,0.2190323333072166
391,0.5,1.5,0.001,5,0.21830296333525567,7,0.21830997755703696
392,0.5,1.5,0.001,10,0.21683789680405804,7,0.2168449584159321
393,0.5,1.5,0.001,15,0.21683789680405804,7,0.2168449584159321
394,0.5,1.5,0.001,20,0.21683789680405804,7,0.2168449584159321
395,0.5,1.5,0.1,2,0.36500348293511126,6,0.3650065650844681
396,0.5,1.5,0.1,5,0.32357592242478417,7,0.32358065466441277
397,0.5,1.5,0.1,10,0.21683789680405804,7,0.2168449584159321
398,0.5,1.5,0.1,15,0.21683789680405804,7,0.2168449584159321
399,0.5,1.5,0.1,20,0.21683789680405804,7,0.2168449584159321
400,0.5,1.5,0.1,2,0.36500348293511126,6,0.3650065650844681
401,0.5,1.5,0.1,5,0.32357592242478417,7,0.32358065466441277
402,0.5,1.5,0.1,10,0.21683789680405804,7,0.2168449584159321
403,0.5,1.5,0.1,15,0.21683789680405804,7,0.2168449584159321
404,0.5,1.5,0.1,20,0.21683789680405804,7,0.2168449584159321
405,0.5,1.5,1.0,2,0.42886460463925097,5,0.42886642630588495
406,0.5,1.5,1.0,5,0.03211140173663144,6,0.03214641693083907
407,0.5,1.5,1.0,10,0.21683789680405804,7,0.2168449584159321
408,0.5,1.5,1.0,15,0.21683789680405804,7,0.2168449584159321
409,0.5,1.5,1.0,20,0.21683789680405804,7,0.2168449584159321
