,eta,epsilon,sigma_init,mu,K,testing_mse,CB_size,tradeOff_dist
200,0.9,0.1,0.01,0.1,2,3.886445938174342,404,3.887758098229858
201,0.9,0.1,0.01,0.1,5,3.886445938174342,404,3.887758098229858
202,0.9,0.1,0.01,0.1,10,3.886445938174342,404,3.887758098229858
203,0.9,0.1,0.01,0.1,20,3.886445938174342,404,3.887758098229858
204,0.9,0.1,0.01,1.0,2,3.8864459381743517,404,3.8877580982298676
205,0.9,0.1,0.01,1.0,5,3.8864459381743517,404,3.8877580982298676
206,0.9,0.1,0.01,1.0,10,3.8864459381743517,404,3.8877580982298676
207,0.9,0.1,0.01,1.0,20,3.8864459381743517,404,3.8877580982298676
208,0.9,0.1,0.1,0.001,2,0.013055191927164062,404,0.10184025744397493
209,0.9,0.1,0.1,0.001,5,0.013068680814237477,404,0.10184198750134651
210,0.9,0.1,0.1,0.001,10,0.013191260904276561,404,0.10185778990457577
211,0.9,0.1,0.1,0.001,20,0.013854260868857228,404,0.10194577256670505
212,0.9,0.1,0.1,0.1,2,0.05731084705801991,404,0.11612722846304285
213,0.9,0.1,0.1,0.1,5,0.04968030215306457,404,0.11255724064679178
214,0.9,0.1,0.1,0.1,10,0.012985818106999527,404,0.10183138745940801
215,0.9,0.1,0.1,0.1,20,0.6082633919853202,404,0.6165917239385291
216,0.9,0.1,0.1,0.1,2,0.05731084705801991,404,0.11612722846304285
217,0.9,0.1,0.1,0.1,5,0.04968030215306457,404,0.11255724064679178
218,0.9,0.1,0.1,0.1,10,0.012985818106999527,404,0.10183138745940801
219,0.9,0.1,0.1,0.1,20,0.6082633919853202,404,0.6165917239385291
220,0.9,0.1,0.1,1.0,2,0.3281442194416968,404,0.343336028917736
221,0.9,0.1,0.1,1.0,5,0.17876469067524436,404,0.20532368258974854
222,0.9,0.1,0.1,1.0,10,0.8899207177448191,404,0.8956337889290767
223,0.9,0.1,0.1,1.0,20,6.852567886962714,404,6.853312166057565
224,0.9,0.1,2.0,0.001,2,0.18322058484653644,404,0.2092146809177283
225,0.9,0.1,2.0,0.001,5,0.18322060660245348,404,0.209214699970559
226,0.9,0.1,2.0,0.001,10,0.18322077153427088,404,0.20921484441027002
227,0.9,0.1,2.0,0.001,20,0.1832266976430831,404,0.20922003424430893
228,0.9,0.1,2.0,0.1,2,0.15548874750188288,404,0.18541237984477815
229,0.9,0.1,2.0,0.1,5,0.15549074354997397,404,0.18541405375462716
230,0.9,0.1,2.0,0.1,10,0.15550587644200642,404,0.18542674458663336
231,0.9,0.1,2.0,0.1,20,0.1560512022842862,404,0.18588431277106526
