,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,mean_CB,mean_TMSE
236,76,49,25,11,11,132,151,24,83,95,39,80,96,62,60,96,107,16,75,75,0.052242930341508356,0.20845477493531717,0.5257352816839899,0.7092902876229644,0.7782229693450136,0.02453620661134866,0.025166340614714986,0.7197413161669192,0.00883864069208191,0.016292976817858754,0.10286153848631402,0.01994839355780568,0.030541926326393555,0.06790075932579433,0.05338696426076741,0.01825738384506734,0.024542609734473506,0.4569177524798311,0.03625516965064563,0.011604680185157815,68.15,0.19453694513419834
237,76,49,25,11,11,132,151,24,83,95,39,80,96,62,60,96,107,16,75,75,0.05221902196579974,0.20663945455816987,0.5196472983371268,0.7081225046994051,0.7809250050278497,0.024681636252709256,0.02551616885227334,0.7206026245669626,0.008789399705033046,0.016280911463899695,0.10245845150154408,0.02011886698771112,0.029038664904956577,0.06796388653033225,0.05350514771533632,0.01821417628724129,0.024845053164409738,0.460779462376147,0.03631585945281075,0.011639515769909906,68.15,0.1944151555059814
238,76,50,25,11,11,133,151,24,83,95,39,80,98,62,60,97,107,16,75,75,0.05239648445870345,0.1913984775339095,0.5221374993891633,0.7138191075955219,0.7819752512305231,0.024677959519240282,0.0265451569884064,0.720804262171025,0.00874536147584009,0.016316431979421536,0.10203235923835856,0.020364086956432832,0.0293420511202723,0.06801566269631844,0.05377104192384541,0.018255241922595016,0.02432323163115518,0.4620572189877007,0.0359009261970614,0.011964092934135853,68.4,0.1942420952974815
239,76,51,25,11,11,133,155,24,83,95,39,80,99,62,60,97,107,16,75,75,0.052427316728209224,0.17032515611668447,0.5212445298996714,0.7151523577321072,0.7819518804999394,0.024612788032420615,0.027538300201543353,0.7209615804568429,0.0086499896876878,0.01633220245564779,0.10479444480879907,0.020363124824436567,0.027358969953577252,0.06803153747626207,0.05407385946000365,0.018260978629150673,0.02400820716977202,0.4625114028522623,0.0359658003022449,0.011989162398002075,68.7,0.19332767948426322
240,76,52,25,11,11,133,155,24,83,95,39,80,99,62,60,97,107,16,75,75,0.052636217612517515,0.16798557686666618,0.5211799822606441,0.7151538818323825,0.7818820038833231,0.024641239921808514,0.027163009507437,0.7205188834293266,0.008483218948315923,0.015793387483562606,0.10317792585760141,0.020208663116288446,0.02363198160782844,0.06803930439399362,0.054268461096947954,0.01795137023668984,0.023447571364326302,0.4613524643423922,0.03593075579025167,0.011869867148157734,68.75,0.19276578833502306
241,77,54,25,11,11,133,155,24,83,95,41,81,99,62,60,97,107,16,75,75,0.05332092434106616,0.15889270066822134,0.520900401288746,0.7143307506924983,0.7726094934345623,0.024479950761622838,0.027224915077490204,0.7205427188232418,0.008511396907097814,0.01581456946933782,0.09139666483477081,0.020057115129964755,0.022819054340630123,0.06808029578616957,0.05419364335247801,0.017780472408840665,0.023355932761025783,0.45830332758019143,0.036185779627704265,0.011985048427796886,69.05,0.19103925778567282
242,77,54,25,11,12,133,155,24,83,95,41,81,99,62,60,97,107,16,75,75,0.05256906578077866,0.15862773914073808,0.5131510629285095,0.7099684492895005,0.756173884250186,0.024467873429942034,0.02720526113784113,0.7206352469853609,0.00868221267639678,0.015789049051340816,0.09071665606593214,0.02031018138600789,0.022711144518143316,0.06813540227660138,0.053935240629281796,0.017921361240243665,0.023358288963613052,0.45717136734762603,0.03596900829454219,0.011977119784709809,69.1,0.18947378075886476
243,77,54,26,11,12,133,155,24,83,95,44,81,99,62,60,97,108,16,75,75,0.052633385184482046,0.15844505999583242,0.477655010816608,0.6932804102882616,0.7494636346419077,0.023615833044889338,0.024731959655457936,0.7206688236618546,0.008808379188770251,0.015819380635350957,0.08068603742025844,0.020429817919766304,0.022362007929015396,0.0682040242459935,0.05367990628513218,0.017921594305775897,0.02233569866380746,0.45577333446438106,0.03614264062802783,0.01196426980979007,69.35,0.18573106043926815
244,77,54,27,11,12,133,155,24,83,95,44,81,99,62,60,97,108,16,75,75,0.05273989976681615,0.15931886660412564,0.471034941772833,0.6886551295955362,0.7527327986201849,0.023767044503198973,0.02502643205631212,0.7207617945568316,0.00918184112490967,0.015824664212561353,0.07883113873807501,0.020585312619928974,0.021021411972326643,0.06818096274815826,0.05366453861503918,0.017934349298516068,0.022142266635022046,0.45935442039839286,0.036133179384678665,0.011519518013488302,69.4,0.1854205255618468
245,77,56,27,11,12,133,156,24,83,95,44,81,99,62,60,97,108,16,75,75,0.05270742241846982,0.15390679582459785,0.4694247209541867,0.6964537476481816,0.7536185994369441,0.02386321719043841,0.02621812519384255,0.7212799200753989,0.008652686035806647,0.015851715401051535,0.07794277188278209,0.020272647036033722,0.020756988595031615,0.06816973726447408,0.0535339816596034,0.01789308941213245,0.02250634369369857,0.4614112548440088,0.03613663438395489,0.011456915793705036,69.55,0.18560286573721713
246,77,59,27,11,12,133,156,24,83,95,44,81,99,62,60,97,108,16,75,75,0.05276204466504224,0.11845286398264707,0.4699256689139034,0.6984434731316806,0.7533738431253107,0.0239435567479301,0.02633243270065384,0.7213395356180813,0.00863696664584389,0.01582003127213192,0.07909844337629712,0.020164280976072344,0.021048436546785065,0.06811935227532423,0.05355171242779548,0.017170335625351706,0.022513142921800695,0.46215840106775324,0.036116938787091796,0.011476592419172904,69.7,0.1840224026613335
