,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,mean_CB,mean_TMSE
52,57,48,34,93,29,8,73,79,44,33,5,38,135,54,60,75,49,45,72,48,0.15380424384990107,0.12241568388839498,0.2860202839889676,0.01971111799456828,0.41457304911541415,0.9308343521584866,0.04924758162859871,0.03201636249038267,0.4109681251572687,0.285809009535846,0.9852744225994592,0.4446052460756786,0.027935962681100993,0.06460457347069973,0.14178818561735773,0.10777272921883156,0.12249884136841468,0.15988098585308388,0.07179411722983357,0.08678891651394763,53.95,0.2459171895218118
53,57,48,34,94,29,8,73,81,45,33,5,38,136,54,60,75,49,46,72,48,0.15442465113633128,0.12175284255615514,0.28674397853149014,0.01978880873759805,0.414564751637593,0.9308093499118891,0.04914276761512923,0.03221876388190316,0.40966256238385956,0.28633988066555827,0.9848073474310569,0.44564840052976973,0.025764814880082438,0.0646057612014645,0.14093742474817647,0.10775529945900517,0.12372796445653846,0.14264963530089664,0.07378340204374177,0.08709329420983172,54.25,0.24511108506590357
54,57,48,34,94,29,8,73,81,45,33,5,38,136,54,60,76,49,47,72,48,0.15454930581004894,0.1219044523024974,0.2865884155357999,0.02026710742168342,0.4140846911492627,0.9308565700470094,0.05095461634051172,0.03637440383780594,0.3925029668448989,0.2860392536045572,0.9827618778185389,0.4393242517276242,0.025068798117872444,0.06559384876044662,0.14124885718425956,0.1082462861711744,0.12401622234671285,0.14229642887379745,0.07721336279055904,0.0872137041383123,54.35,0.24435527104116866
55,57,48,34,94,30,8,74,81,45,33,5,39,136,54,60,76,49,47,72,48,0.15396789271671787,0.12062342571233164,0.2863159025402545,0.020921972040680952,0.3903997009463996,0.9307143272702308,0.053435808570686846,0.03671081234325353,0.3687015814686793,0.2864085508824132,0.983264927567787,0.43081331061510514,0.02517726121067246,0.06579662031279557,0.14175253982758476,0.10980857724231972,0.12332781618685894,0.12627587953521419,0.07890148413318047,0.08731861981626293,54.5,0.24103185054697152
56,57,49,34,94,30,8,74,81,45,33,5,40,136,54,60,76,49,47,72,48,0.15544428944658426,0.11991459698424896,0.28609690644468405,0.020901954026872168,0.3783506027204749,0.9311010805887175,0.0506632647669298,0.03684100002986183,0.36197891952021666,0.28616197805584515,0.9841204887722665,0.46592871468584024,0.02514371570551193,0.06616780996900515,0.14167539336895627,0.11041037623766696,0.12231335594466618,0.12234821648925205,0.07941081721809999,0.08826023793736017,54.6,0.24166168594565302
57,57,49,34,94,30,8,74,81,48,33,5,41,137,55,60,77,49,48,73,48,0.15586002270573984,0.12019004138667398,0.28601526130769755,0.02079298592334505,0.37513430827699884,0.9318682265505289,0.04509093136440338,0.03645705774534987,0.34931741991363485,0.2816242160920344,0.9824691139250047,0.42928397961737286,0.02545816068162058,0.06562326403565076,0.14179397726756776,0.11276474565270905,0.12292273278080046,0.11939049489046584,0.07842791102249734,0.08946654638030065,55.05,0.23849756987601983
58,57,49,34,95,30,8,75,81,48,33,5,41,138,55,61,77,50,48,73,48,0.15627088537803285,0.12014329899182516,0.28627030971404,0.022044223975272757,0.3707719121829232,0.9321931887144335,0.04514917139067524,0.035218403471249715,0.34372743958888996,0.2587505635762676,0.9822612738793943,0.3962214496479267,0.02622013562576644,0.06139706098259896,0.1411762070511715,0.11183893389176328,0.12354493277048757,0.12405946159250365,0.07231928457970012,0.08989387879508812,55.3,0.23497360079000057
59,57,49,34,95,30,8,75,82,48,34,5,41,138,55,61,77,50,49,73,48,0.15733106821146214,0.12026102639872359,0.2864574184899692,0.022261709635689922,0.3713896100343492,0.9318927928566216,0.045079606317535645,0.030310094573921104,0.34246689816686454,0.24007435966330867,0.9822075724162609,0.3904107604229762,0.028050527455118768,0.05945288334887666,0.14231097898127215,0.10923340997711696,0.12405643852793194,0.12489167921247002,0.07086960009974938,0.08942229462440819,55.45,0.23342153647073136
60,57,49,34,97,30,8,76,82,48,35,5,43,139,55,61,77,50,50,73,48,0.15668395606777258,0.12120926691809146,0.286683653412325,0.023345138874142978,0.3713275932834725,0.9312955040592577,0.04536390871449169,0.029326925494489554,0.34327776197478915,0.2387669754716799,0.9808971755148809,0.3775209027772923,0.0323744635846592,0.055999563598263184,0.14182730300472757,0.10698315873343861,0.1238285316301523,0.11405616238816779,0.07285420315906266,0.08800885966382499,55.85,0.23208155041624906
61,57,49,34,98,30,8,76,82,48,35,5,43,139,56,61,77,50,51,74,48,0.15671347480223538,0.12208653506267149,0.286893135147642,0.024590630691732805,0.37191853183958073,0.9288566776889344,0.04940369440231538,0.02984652258569302,0.3469155779510337,0.23947570319811878,0.9793358067685682,0.3790150641204194,0.03613155038145304,0.05554178049659664,0.1416340529862802,0.10688516982828031,0.12335837928855961,0.12402044308303087,0.07568067632562113,0.0874184966538407,56.05,0.23328609516513038
