,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,mean_CB,mean_TMSE
10,12,9,3,17,1,24,16,1,23,8,21,3,13,15,18,22,23,19,10,21,1.0785000134439775,0.9580816966812764,1.081434536593235,1.7984396519202557,1.0018031181143652,1.6732064491028267,1.3989596605658494,1.0078726629768715,0.947393812566451,1.154574878384361,0.9001012214385332,1.0485722496760594,1.1843043245875249,1.5981120207954824,1.809530820610323,1.9486998381223253,1.1106294093206672,0.9744412462558705,0.9427065671040961,1.4446080914929211,13.95,1.2530986134876636
11,13,10,3,17,1,25,16,1,23,8,22,3,13,15,18,22,23,20,10,21,1.106574181264024,1.0268569747846563,1.0711656951647495,1.7641426325952976,1.0022696889880731,1.8762588016130528,1.4601285179512136,1.0085616499568009,0.9035872923031013,1.0716503244912905,1.6887248311535619,1.0495974932123242,1.172692007818816,1.2972324304132035,1.663217365566173,2.57427827769712,1.0528185770280836,1.4372382768299719,0.9350971522864838,0.8035574929552075,14.2,1.2982824832036604
12,13,10,3,17,1,27,17,1,24,8,23,3,13,15,19,22,23,21,10,22,1.109969954838364,0.9701740561704107,1.0449059098606928,1.626922735930956,1.001524429117464,0.4103618127520424,1.682118307685441,1.0065317658129416,0.7335434341641367,1.0493785686563706,2.6742628410995235,1.0497675384452305,1.0047795741972128,1.0158038058725545,1.1860190551440717,2.1885633501062287,1.1677129700591116,1.3240339607065852,0.9642405135456835,0.5256026178883573,14.6,1.186810860102669
13,13,10,3,17,1,28,17,1,24,8,23,3,14,17,21,22,24,22,11,23,1.115012814711738,0.9559562466785174,1.036400810705337,1.1431670150351194,1.001030624905751,0.24075478633585737,1.5638923593832124,1.0034411498900364,0.6461972250757416,1.0373940528053032,2.1891621406022854,1.0503029262134966,0.8409857388969842,0.8494395002449162,0.8239870031503285,1.1874638376946172,0.5739281962591746,0.941212670650572,0.9799992574045475,0.37375752401763995,15.1,0.9776742940330587
14,13,10,3,17,1,28,17,1,24,8,24,3,15,17,22,23,25,23,11,23,1.1140996891712107,0.9702512361138511,1.0286701339153337,0.8182888185794458,1.0011445808725437,0.5146040798469964,0.9283832286660257,1.0016065229128872,0.6207190560037327,1.0207682372807745,0.8318472324665128,1.0519010724839113,0.7934077755044588,0.8032821494959331,0.5243549701688646,1.2970570910273944,0.28640539261434605,0.6593157153720265,0.9789227456881443,0.3162179916382626,15.4,0.8280623859911328
15,13,10,3,17,1,28,19,1,24,8,25,3,15,17,22,23,25,23,11,23,1.030954319105233,0.989200196604767,1.0310194268459612,0.8683404355087904,1.001232892121529,0.6379806924478056,0.6787147276910095,1.0017606441480897,0.7648620451569211,1.0206149655747474,0.5106911284069212,1.046510543910251,0.8005297606405327,0.8482590555632882,0.4668178961194388,0.27704758562635745,0.9697414366617332,0.5979710026281573,0.9788233650730632,0.24920225861216969,15.55,0.7885137189223383
16,14,10,3,17,1,28,19,1,25,8,27,3,15,17,22,23,25,23,11,23,0.9960552809423657,1.0107522416738686,1.042186533730095,0.9968782027277201,1.0021441086704328,0.4798528690923953,0.536094365399647,1.0057677372775586,0.58390090624218,1.0703206539112644,0.3971187075926323,1.0460020469866662,0.7871860754403333,0.8941606546456651,0.5664824003199589,0.6658182082716072,1.131252726588988,0.5951420954773426,0.9683386681320097,0.26701773908029314,15.75,0.8021236111101512
17,14,10,3,18,1,28,20,1,25,9,27,3,15,17,23,23,25,23,11,23,0.9230086211472858,0.9847531682540621,1.0562499781689076,0.982758505830731,1.0029272957061208,0.3433373828817866,0.7264325467411181,1.0103030929347332,0.47122483099851104,1.1237407217224875,0.22669287039068367,1.0422172768764506,0.7673291710745724,0.8203930703220885,0.7173964794435427,0.4301454990886607,0.7720040759814035,0.6083618483031829,0.9627194455564273,0.29131104651349615,15.95,0.7631653463968127
18,14,10,3,18,1,28,20,1,25,9,27,3,15,17,23,23,25,23,11,23,0.9381802970478733,0.9522933944871581,1.0805525591300031,0.9168544279261608,1.0030431498133316,0.5006816623465142,0.8069414597133082,1.0126196387942334,0.4971754908139156,1.0851834795961588,0.28593895633348626,1.038159206307398,0.7594376673231494,0.7982620930908365,0.6047553075605692,0.2787711439358469,0.733686329620312,0.600486884717827,0.9582199742196318,0.29813974207821287,15.95,0.7574691432427964
19,14,10,3,18,1,28,21,1,25,9,27,3,15,17,23,23,25,23,11,23,0.9666653717942556,0.9363240484972264,1.0712233304258711,0.7754560039826283,1.00234434585513,0.29385116416207613,0.6878670058354169,1.0108237940204685,0.5616506883643897,1.041534676124391,0.26952667778653494,1.0359660737352703,0.7585695886110714,0.7653594108595997,0.46890398029453795,0.23526548591659754,0.805193817925944,0.6049405860513878,0.971779979661404,0.24273928858197838,16.0,0.725299265924309
