,CB_0,CB_1,CB_2,TMSE_0,TMSE_1,TMSE_2,mean_CB,mean_TMSE
180,,7.0,7.0,,0.0038017587004408725,0.002981808936819801,7.0,0.003391783818630337
181,,7.0,7.0,,0.0037249680494393094,0.002974742673991787,7.0,0.0033498553617155482
182,,7.0,7.0,,0.0036924663021984504,0.002920061853136505,7.0,0.0033062640776674776
183,,7.0,7.0,,0.003674961737184107,0.003008010536491865,7.0,0.003341486136837986
184,,7.0,7.0,,0.0036918303803036494,0.003045809160454042,7.0,0.0033688197703788457
185,,7.0,7.0,,0.003764291984013402,0.0030221178505825787,7.0,0.0033932049172979905
186,,7.0,7.0,,0.0038203379721325455,0.0030347069434095587,7.0,0.003427522457771052
187,,7.0,7.0,,0.00376925773181503,0.002966099121999091,7.0,0.0033676784269070607
188,,7.0,7.0,,0.003731826193979315,0.002899637742150753,7.0,0.003315731968065034
189,,7.0,7.0,,0.0038706066999355648,0.0028745594157149707,7.0,0.0033725830578252678
190,,7.0,7.0,,0.003941158154944509,0.00286456885046681,7.0,0.003402863502705659
191,,7.0,7.0,,0.003917651890625839,0.002875554625930497,7.0,0.0033966032582781677
192,,7.0,7.0,,0.003938534481315722,0.0028491457048137403,7.0,0.0033938400930647312
193,,7.0,7.0,,0.003919814628103238,0.002890565482915102,7.0,0.00340519005550917
194,,7.0,7.0,,0.003896103701443857,0.0029158481618735983,7.0,0.003405975931658728
195,,7.0,7.0,,0.00395329537097672,0.0028814272118742584,7.0,0.003417361291425489
196,,7.0,7.0,,0.004002712166803179,0.002889981775468973,7.0,0.0034463469711360764
197,,7.0,7.0,,0.003858320881411647,0.0029233616460313315,7.0,0.0033908412637214894
198,,7.0,7.0,,0.0037556524430408735,0.002888808842384452,7.0,0.003322230642712663
199,,7.0,7.0,,0.0036939701100324376,0.002952013310708446,7.0,0.0033229917103704417
200,,7.0,7.0,,0.0037042110371409242,0.0029891517332377633,7.0,0.0033466813851893438
201,,7.0,7.0,,0.0036903302452493594,0.003007198702631848,7.0,0.0033487644739406035
202,,7.0,7.0,,0.0037917600875658876,0.0029624032187996496,7.0,0.003377081653182769
203,,7.0,7.0,,0.003774123368508715,0.002953038594772891,7.0,0.003363580981640803
204,,7.0,7.0,,0.003763239355192349,0.003105011558078125,7.0,0.003434125456635237
205,,7.0,7.0,,0.0037801170715632167,0.003035398370663705,7.0,0.0034077577211134606
206,,7.0,7.0,,0.0037513757324158215,0.0030410486068008836,7.0,0.0033962121696083526
207,,7.0,7.0,,0.0037646103570857276,0.0032215438423439592,7.0,0.0034930770997148434
208,,7.0,7.0,,0.0037768859968101837,0.0036868134650949284,7.0,0.003731849730952556
209,,7.0,7.0,,0.003703196492509601,0.0038695216504525025,7.0,0.0037863590714810515
210,,7.0,7.0,,0.0037095449715892816,0.003768720219390362,7.0,0.0037391325954898216
211,,7.0,7.0,,0.0036555326389574217,0.003485100506896841,7.0,0.0035703165729271315
212,,7.0,7.0,,0.0036633850969351113,0.003351309538185762,7.0,0.0035073473175604363
213,,7.0,7.0,,0.0037142410297236273,0.0031613558913551132,7.0,0.0034377984605393703
214,,7.0,7.0,,0.0037547119616458905,0.0031492812156916792,7.0,0.003451996588668785
215,,7.0,7.0,,0.0037545872076223774,0.002971354990945846,7.0,0.0033629710992841115
216,,7.0,7.0,,0.003745959252826661,0.0029311963389329386,7.0,0.0033385777958798
217,,7.0,7.0,,0.003698236461083488,0.002960927317897689,7.0,0.0033295818894905887
218,,7.0,7.0,,0.003679448179860906,0.0029856324685668036,7.0,0.0033325403242138547
219,,7.0,7.0,,0.0036561292866599086,0.0030689443796961136,7.0,0.003362536833178011
220,,7.0,7.0,,0.0036633492787387363,0.0030296410868051694,7.0,0.0033464951827719526
221,,7.0,7.0,,0.0036547710400280753,0.0029852180574607818,7.0,0.0033199945487444285
222,,7.0,7.0,,0.0036793372112216803,0.003001933319134443,7.0,0.0033406352651780616
223,,7.0,7.0,,0.003703553912439289,0.0030399956642494187,7.0,0.003371774788344354
224,,7.0,7.0,,0.003717692218020484,0.0030376468194027316,7.0,0.0033776695187116078
